COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_CONTACT_PERSON_CD,ADDR_FLAG,INVOICE_SEQ,INVOICE_NO,INVOICE_REF,INVOICE_DT,INVOICE_CATEGORY,FREQ,PERIOD_START_DT,PERIOD_END_DT,DUE_DT,INVOICE_TYPE,LINKED_INVOICE,NUM_LINE,NOTE,GROSS_AMT_USD,EXCHG_RATE_CD,EXCHG_RATE_DT,EXCHG_RATE_VALUE,INVOICE_RAISED_IN,GROSS_AMT_INR,TAX_AMT,TAX_STRUCT_CD,TAX_EFF_DT,INVOICE_AMT,ADJUST_SIGN,ADJUST_AMT,NET_PAYABLE_AMT,INV_STATUS,CHECKED_FLAG,CHECKED_BY,CHECKED_DT,AUTHORIZED_FLAG,AUTHORIZED_BY,AUTHORIZED_DT,APPROVED_FLAG,APPROVED_BY,APPROVED_DT,ENT_BY,ENT_DT,FINANCIAL_YEAR,MODIFY_BY,MODIFY_DT,OTHER_INV_STR,AMT_WORD,PDF_INV_DTL,PRINT_BY_ORI,PRINT_DT_ORI,TCS_TDS,TDS_AMT,TDS_STRUCT_CD,TDS_EFF_DT,TCS_AMT,TCS_STRUCT_CD,TCS_EFF_DT,SAP_APPROVAL,SAP_APPROVED_BY,SAP_APPROVED_DT,SAP_EXCHNG_RATE,TCS_CERT_FLAG,ALLOC_QTY,SUB_INV_TYPE
Gail,1-1-1601-1032L5-0-1-0-2,C,null,null,null,C,1,null,null,2024-2025,UPG2A24109020306,UPG2A24109020306,19/01/2025 00:00:00,S,8,16/01/2025 00:00:00,19/01/2025 00:00:00,06/02/2025 00:00:00,TC,null,1,Invoice Of Gail for the Period of 16/01/2025 to 19/01/2025,null,null,null,null,1,1563161.6,IGST 12%,null,null,null,null,null,null,null,Y,6,04/02/2025 00:00:00,Y,6,04/02/2025 00:00:00,A,46,05/02/2025 00:00:00,219,04/02/2025 00:00:00,2024-2025,null,null,null,null,O,219,04/02/2025 00:00:00,TDS,31263.23,62,01/04/2023 00:00:00,null,null,null,Y,164,05/02/2025 00:00:00,null,null,19520.0,null
Gail,1-1-1601-1032L5-0-1-0-2,C,null,null,null,C,1,null,null,2024-2025,UPG2A24109020307,UPG2A24109020307,27/01/2025 00:00:00,S,8,20/01/2025 00:00:00,27/01/2025 00:00:00,06/02/2025 00:00:00,TC,null,1,Invoice Of Gail for the Period of 20/01/2025 to 27/01/2025,null,null,null,null,1,2962960.0,IGST 12%,null,null,null,null,null,null,null,Y,6,04/02/2025 00:00:00,Y,6,04/02/2025 00:00:00,A,46,05/02/2025 00:00:00,219,04/02/2025 00:00:00,2024-2025,null,null,null,null,O,219,04/02/2025 00:00:00,TDS,59259.2,62,01/04/2023 00:00:00,null,null,null,Y,164,05/02/2025 00:00:00,null,null,37000.0,null
Gail,1-1-1601-1032L5-0-1-0-2,C,null,null,null,C,1,null,null,2024-2025,UPG2A24109020308,UPG2A24109020308,31/01/2025 00:00:00,S,8,28/01/2025 00:00:00,31/01/2025 00:00:00,06/02/2025 00:00:00,TC,null,1,Invoice Of Gail for the Period of 28/01/2025 to 31/01/2025,null,null,null,null,1,1508707.2,IGST 12%,null,null,null,null,null,null,null,Y,6,04/02/2025 00:00:00,Y,6,04/02/2025 00:00:00,A,46,05/02/2025 00:00:00,219,04/02/2025 00:00:00,2024-2025,null,null,null,null,O,219,04/02/2025 00:00:00,TDS,30174.14,62,01/04/2023 00:00:00,null,null,null,Y,164,05/02/2025 00:00:00,null,null,18840.0,null
Gail,1-1-1601-1132L29-0-1-1-2,C,null,null,null,C,1,null,null,2025-2026,UPG2A25109000471,UPG2A25109000471,15/04/2025 00:00:00,S,1,01/04/2025 00:00:00,15/04/2025 00:00:00,22/04/2025 00:00:00,TC,null,1,Invoice Of Gail for the Period of 01/04/2025 to 15/04/2025,null,null,null,null,1,1601550.0,IGST 12%,null,null,null,null,null,null,null,Y,6,17/04/2025 00:00:00,Y,6,17/04/2025 00:00:00,A,46,21/04/2025 00:00:00,219,17/04/2025 00:00:00,2025-2026,null,null,null,null,O,219,17/04/2025 00:00:00,TDS,32031,62,01/04/2023 00:00:00,null,null,null,Y,201,23/04/2025 00:00:00,null,null,15000.0,null
Gail,1-1-1601-1132L29-0-1-1-2,C,null,null,null,C,1,null,null,2025-2026,UPG2A25109002322,UPG2A25109002322,30/04/2025 00:00:00,S,2,16/04/2025 00:00:00,30/04/2025 00:00:00,06/05/2025 00:00:00,TC,null,1,Invoice Of Gail for the Period of 16/04/2025 to 30/04/2025,null,null,null,null,1,1377333.0,IGST 12%,null,null,null,null,null,null,null,Y,6,02/05/2025 00:00:00,Y,6,02/05/2025 00:00:00,A,46,05/05/2025 00:00:00,219,02/05/2025 00:00:00,2025-2026,null,null,null,null,O,219,02/05/2025 00:00:00,TDS,27546.66,62,01/04/2023 00:00:00,null,null,null,Y,201,05/05/2025 00:00:00,null,null,12900.0,null
Gail,1-1-1601-1132L29-0-1-1-2,C,null,null,null,C,1,null,null,2025-2026,UPG2A25109002324,UPG2A25109002324,30/04/2025 00:00:00,S,2,16/04/2025 00:00:00,30/04/2025 00:00:00,06/05/2025 00:00:00,TC,null,1,Invoice Of Gail for the Period of 16/04/2025 to 30/04/2025,null,null,null,null,1,1366656.0,IGST 12%,null,null,null,null,null,null,null,Y,6,02/05/2025 00:00:00,Y,6,02/05/2025 00:00:00,A,46,05/05/2025 00:00:00,219,02/05/2025 00:00:00,2025-2026,null,null,null,null,O,219,02/05/2025 00:00:00,TDS,27333.12,62,01/04/2023 00:00:00,null,null,null,Y,201,05/05/2025 00:00:00,null,null,12800.0,null
Gail,1-1-1601-1132L29-0-1-1-2,C,null,null,null,C,1,null,null,2025-2026,UPG2A25109002325,UPG2A25109002325,30/04/2025 00:00:00,S,2,16/04/2025 00:00:00,30/04/2025 00:00:00,06/05/2025 00:00:00,TC,null,1,Invoice Of Gail for the Period of 16/04/2025 to 30/04/2025,null,null,null,null,1,1366656.0,IGST 12%,null,null,null,null,null,null,null,Y,6,02/05/2025 00:00:00,Y,6,02/05/2025 00:00:00,A,46,05/05/2025 00:00:00,219,02/05/2025 00:00:00,2025-2026,null,null,null,null,O,219,02/05/2025 00:00:00,TDS,27333.12,62,01/04/2023 00:00:00,null,null,null,Y,201,05/05/2025 00:00:00,null,null,12800.0,null
Gail,1-1-1601-1132L29-0-1-1-2,C,null,null,null,C,1,null,null,2025-2026,UPG2A25109002326,UPG2A25109002326,30/04/2025 00:00:00,S,2,16/04/2025 00:00:00,30/04/2025 00:00:00,06/05/2025 00:00:00,TC,null,1,Invoice Of Gail for the Period of 16/04/2025 to 30/04/2025,null,null,null,null,1,1493178.45,IGST 12%,null,null,null,null,null,null,null,Y,6,02/05/2025 00:00:00,Y,6,02/05/2025 00:00:00,A,46,05/05/2025 00:00:00,219,02/05/2025 00:00:00,2025-2026,null,null,null,null,O,219,02/05/2025 00:00:00,TDS,29863.57,62,01/04/2023 00:00:00,null,null,null,Y,201,05/05/2025 00:00:00,null,null,13985.0,null
Gail,1-1-1601-1201L3-0-1-0-1,C,null,null,null,C,1,null,null,2023-2024,UPG2A23109012053,UPG2A23109012053,15/12/2023 00:00:00,S,1,01/12/2023 00:00:00,15/12/2023 00:00:00,21/12/2023 00:00:00,TC,null,1,Invoice Of Gail for the Period of 01/12/2023 to 15/12/2023,null,null,null,null,1,1.415861378E7,IGST 12%,null,null,null,null,null,null,null,Y,6,18/12/2023 00:00:00,Y,6,18/12/2023 00:00:00,A,6,19/12/2023 00:00:00,130,18/12/2023 00:00:00,2023-2024,null,null,null,null,O,130,18/12/2023 00:00:00,TDS,283172.28,62,01/04/2023 00:00:00,null,null,null,Y,128,19/12/2023 00:00:00,null,null,123634.42,null
Gail,1-1-1601-1211L2-0-1-0-1,C,null,null,null,C,1,null,null,2023-2024,UPG2A23109007478,UPG2A23109007478,15/09/2023 00:00:00,S,1,01/09/2023 00:00:00,15/09/2023 00:00:00,22/09/2023 00:00:00,IC,null,2,Invoice Of Gail for the Period of 01/09/2023 to 15/09/2023,null,null,null,null,1,182237.91,IGST 12%,null,null,null,null,null,null,null,Y,6,20/09/2023 00:00:00,Y,6,20/09/2023 00:00:00,A,6,20/09/2023 00:00:00,113,20/09/2023 00:00:00,2023-2024,null,null,null,null,O,113,20/09/2023 00:00:00,TDS,3644.76,62,01/04/2023 00:00:00,null,null,null,Y,128,21/09/2023 00:00:00,null,null,4613.6179999999995,null
