COMPANY_CD,FINANCIAL_YEAR,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_STATE_TIN,BU_CONTACT_PERSON_CD,ADDR_FLAG,CONTACT_PERSON_CD,INVOICE_TYPE,INVOICE_SEQ,INVOICE_NO,LINE_NO,LINE_DESC,UNIT,QTY,RATE,AMOUNT,ENT_BY,ENT_DT,CARGO_NO
RIL,2016-2017,C-1-3-3-0,3,0,3,0,O,1,0,null,dr,null,DR,1,null,1,null,1,19978.81,.8,15983.05,27,18/04/2016 11:21:51,null
RIL,2016-2017,C-1-3-24-0,3,0,24,0,O,1,0,0001/16-17,cr,null,CR,228,0001/16-17,1,null,1,437363.66,.8,9707.65,23,03/08/2016 12:22:12,null
RIL,2016-2017,C-1-3-24-0,3,0,24,0,O,1,0,0002/16-17,cr,null,CR,229,0002/16-17,1,null,1,235062.67,.8,27380.49,23,03/08/2016 12:26:14,null
RIL,2016-2017,C-1-3-24-0,3,0,24,0,O,1,0,0003/16-17,cr,null,CR,230,0003/16-17,1,null,1,136353,.8,18829.69,23,03/08/2016 12:29:15,null
RIL,2016-2017,C-1-3-24-0,3,0,24,0,O,1,0,0004/16-17,cr,null,CR,239,0004/16-17,1,null,1,1298493,.8,737290.85,23,03/08/2016 12:30:23,null
RIL,2017-2018,C-1-4-15-0,4,0,15,0,O,1,0,0003/17-18,cr,null,CR,137,0003/17-18,1,null,1,472513.19,.8,378010.55,23,19/06/2017 16:11:18,null
RIL,2017-2018,C-1-4-16-0,4,0,16,0,O,1,0,0004/17-18,cr,null,CR,145,0004/17-18,1,null,1,40568.57,.8,32454.86,23,19/06/2017 16:12:17,null
RIL,2019-2020,L-1-1-0,1,0,1,0,L,1,0,D018/19-20,dr,null,DR,115,D018/19-20,1,null,1,97644.68,5.07,495058.53,23,25/02/2020 14:07:05,null
GSPCL,2018-2019,C-3-12018-12-0,12018,0,12,0,O,1,0,C006/18-19,cr,null,CR,472,C006/18-19,1,null,1,1199549.8,.78,935648.84,23,03/01/2019 09:17:09,null
GSPCL,2019-2020,117,1,0,105,3,M,1,0,D006/19-20,dr,null,DR,95,D006/19-20,1,null,1,784414.95,6.15,4824151.94,6,04/02/2020 14:53:56,null
Gail,2025-2026,A-4-7-10722-0,7,0,10722,0,Q,1,24,2LGJ0025/25-26,null,null,OR,25,2LGJ0025/25-26,1,TLU Charges (Cubal LNG dtd 09-June-25 ),INR,1768.9,90.57,160209.27,null,null,null
Gail,2025-2026,A-4-7-10722-0,7,0,10722,0,Q,1,24,2LGJ0026/25-26,null,null,OR,26,2LGJ0026/25-26,1,TLU Charges (Lobito LNG dtd 21-June-25),INR,6209.89,90.57,562429.74,null,null,null
Gail,2020-2021,A-4-5-10519-0,5,0,10519,0,Q,1,0,L00139/20-21 ,null,null,SI,139,L00139/20-21 ,1,null,null,1187579.68,.76,902560.557,23,16/06/2020 00:00:00,null
Gail,2019-2020,22,2,0,1,1,M,1,0,C002/19-20,cr,null,CR,24,C002/19-20,1,null,1,352854,5.94,2095952.76,23,01/07/2019 13:06:15,null
Gail,2019-2020,24,2,1,3,1,M,1,0,D007/19-20,dr,null,DR,96,D007/19-20,1,null,1,778000,5.4,4201200,6,04/02/2020 15:39:55,null
Gail,2020-2021,C-4-10519-1-0,10519,0,1,0,O,1,0,D0001/20-21,dr,null,DR,113,D0001/20-21,1,null,1,1187579.68,.76,902560.56,23,16/06/2020 17:59:34,null
KRIBHCO,2019-2020,L-19-1-0,19,0,1,0,L,1,0,C003/19-20,cr,null,CR,121,C003/19-20,1,null,1,179445,5.97,1071286.65,23,26/02/2020 14:09:11,null
DFPCL,2023-2024,06,2,0,6,0,M,1,27,SMH0018/23-24,null,null,OR,18,SMH0018/23-24,1,null,null,79400.09,16.82,1335510,153,02/05/2023 00:00:00,null
HPCL,2019-2020,19,2,0,5,0,M,1,0,C001/19-20,cr,null,CR,5,C001/19-20,1,null,1,83067.74,6.12,508374.57,23,17/04/2019 17:12:06,null
GSFC,2019-2020,3,1,0,3,0,M,1,0,D008/19-20,dr,null,DR,97,D008/19-20,1,null,1,94096,5.63,529760.48,6,04/02/2020 15:44:03,null
AMNS,2023-2024,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00003/23-24,null,null,DI,3,L00003/23-24,1,Deficiency Payment for Berthing Slot No. 04 dated 14-15 April 2023,USD,3200000,.76,2432000,null,null,null
AMNS,2023-2024,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00009/23-24,null,null,DI,9,L00009/23-24,1,Deficiency Payment for Berthing Slot No. 05 dated 04-05 May 2023,USD,156900,.76,119244,null,null,null
AMNS,2023-2024,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00022/23-24,null,null,DI,22,L00022/23-24,1,Deficiency Payment for Berthing Slot No. 07 dated 20-21 June 2023,USD,3200000,.76,2432000,null,null,null
AMNS,2023-2024,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00041/23-24,null,null,DI,41,L00041/23-24,1,Deficiency Payment for Berthing Slot no.09 dated 27-28 July 2023,USD,3200000,.76,2432000,null,null,null
AMNS,2023-2024,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00061/23-24,null,null,DI,61,L00061/23-24,1,Deficiency Payment for Berthing Slot No. 11 dated 26-Sep-23,USD,1640000,.76,1246400,null,null,null
AMNS,2023-2024,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00066/23-24,null,null,SI,66,L00066/23-24,1,Service Charges,USD,300000,.76,228000,null,null,null
AMNS,2023-2024,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00075/23-24,null,null,DI,75,L00075/23-24,1,Deficiency Payment for Berthing Slot no.13 dated 01-02 November 2023,USD,3200000,.76,2432000,null,null,null
AMNS,2022-2023,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00075/22-23,null,null,DI,75,L00075/22-23,2,Deficiency Payment for Berthing Slot no.15 dated 20-21 July 2022,USD,3200000,.76,2432000,null,null,null
AMNS,2024-2025,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00079/24-25,null,null,SI,79,L00079/24-25,1,Service Charges,USD,36200,.76,27512,null,null,null
AMNS,2023-2024,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00083/23-24,null,null,DI,83,L00083/23-24,1,Service charges,USD,150000,.76,114000,null,null,null
AMNS,2024-2025,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00084/24-25,null,null,SI,84,L00084/24-25,1,Service Charges ,USD,347800,.76,264328,null,null,null
AMNS,2023-2024,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00085/23-24,null,null,DI,85,L00085/23-24,1,Deficiency invoice for Berthing slot no-15 cargo dated 05-06 December 2023,USD,3200000,.76,2432000,null,null,null
AMNS,2024-2025,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00085/24-25,null,null,ST,85,L00085/24-25,2,Storage Charges For The Extended Storage Duration (30-31 Jan 2025) For Cargo Arrived on 14-01-2025,INR,4467029.58,2,8934059.16,null,null,null
AMNS,2024-2025,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00088/24-25,null,null,ST,88,L00088/24-25,1,Storage Charges For The Extended Storage Duration (01-15 Feb-25) For Cargo Arrived on 14-01-2025,INR,27677055.92,2,55354111.84,null,null,null
AMNS,2024-2025,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00089/24-25,null,null,SI,89,L00089/24-25,1,Service Charges,USD,51300,.76,38988,null,null,null
AMNS,2023-2024,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00094/23-24,null,null,SI,94,L00094/23-24,1,Service Charges,USD,300000,.76,228000,null,null,null
AMNS,2022-2023,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00094/22-23,null,null,DI,94,L00094/22-23,2,Deficiency Payment for Berthing Slot no.08 dated 20-21 Aug 2022,USD,3200000,.76,2432000,null,null,null
AMNS,2024-2025,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00095/24-25,null,null,SI,95,L00095/24-25,1,Service Charges,USD,15445,.76,11738.2,null,null,null
AMNS,2023-2024,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00096/23-24,null,null,ST,96,L00096/23-24,1,Storage Charges For The Extended Storage Duration For Cargo Arrived on 23-12-2023,INR,300000,2,600000,null,null,null
AMNS,2024-2025,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00096/24-25,null,null,SI,96,L00096/24-25,2,Service Charges,USD,149255,.0076,1134.34,null,null,null
AMNS,2024-2025,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00097/24-25,null,null,ST,97,L00097/24-25,1,Storage Charges For The Extended Storage Duration (16-28 Feb-25) For Cargo Arrived on 14-01-2025,INR,13138104.05,2,26276208.1,null,null,null
AMNS,2024-2025,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00098/24-25,null,null,SI,98,L00098/24-25,1,Service Charges,USD,149255,.0684,10209.04,null,null,null
AMNS,2024-2025,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00102/24-25,null,null,ST,102,L00102/24-25,1,Storage Charges For The Extended Storage Duration (01-15 Mar-25) For Cargo Arrived on 14-01-2025,INR,3575968.29,2,7151936.58,null,null,null
AMNS,2022-2023,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00108/22-23,null,null,SI,108,L00108/22-23,1,Service Charges,USD,2200000,.76,1672000,null,null,null
AMNS,2022-2023,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00139/22-23,null,null,DI,139,L00139/22-23,1,Deficiency Payment for Berthing Slot no.16 dated 27- 28 Oct 2022,USD,3200000,.76,2432000,null,null,null
AMNS,2022-2023,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00159/22-23,null,null,DI,159,L00159/22-23,1,Deficiency Payment for Berthing Slot no.13 dated 16- 17 Dec 2022,USD,3200000,.76,2432000,null,null,null
AMNS,2022-2023,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00165/22-23,null,null,SI,165,L00165/22-23,1,Service Charges,USD,305000,.76,231800,null,null,null
AMNS,2022-2023,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00169/22-23,null,null,SI,169,L00169/22-23,1,Service Charges,USD,128500,.76,97660,null,null,null
AMNS,2022-2023,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00175/22-23,null,null,DI,175,L00175/22-23,1,Service Invoice against LNG Purchase under SP23,USD,150485.48,.76,114368.96,null,null,null
