

<<ROLLBACK_START>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(21-FEB-2025 10:05:12)
 
COMPANY_CD,COUNTERPARTY_CD,SEQ_NO,ENTIY,TIMESTAMP
2,30,1,C, 	(21-FEB-2025 10:05:12)
2,187,1,C, 	(21-FEB-2025 10:05:12)
2,273,1,C, 	(21-FEB-2025 10:05:12)
2,152,1,T, 	(21-FEB-2025 10:05:12)
2,231,1,C, 	(21-FEB-2025 10:05:12)
2,49,1,C, 	(21-FEB-2025 10:05:12)
2,140,1,C, 	(21-FEB-2025 10:05:12)
2,53,1,C, 	(21-FEB-2025 10:05:12)
2,224,1,C, 	(21-FEB-2025 10:05:12)
2,59,1,C, 	(21-FEB-2025 10:05:12)
2,208,1,C, 	(21-FEB-2025 10:05:12)
2,188,1,C, 	(21-FEB-2025 10:05:12)
2,123,1,C, 	(21-FEB-2025 10:05:12)
2,121,1,C, 	(21-FEB-2025 10:05:12)
2,119,1,C, 	(21-FEB-2025 10:05:12)
2,118,1,C, 	(21-FEB-2025 10:05:12)
2,134,1,R, 	(21-FEB-2025 10:05:12)
2,265,1,H, 	(21-FEB-2025 10:05:12)
2,232,1,V, 	(21-FEB-2025 10:05:12)
2,126,1,S, 	(21-FEB-2025 10:05:12)
2,264,1,S, 	(21-FEB-2025 10:05:12)
1,264,1,S, 	(21-FEB-2025 10:05:12)	 (Not Deleted)
2,264,1,S, 	(21-FEB-2025 10:05:12)	 (Not Deleted)
2,264,2,S, 	(21-FEB-2025 10:05:12)	 (Not Deleted)
2,264,1,S, 	(21-FEB-2025 10:05:12)	 (Not Deleted)
2,264,1,S, 	(21-FEB-2025 10:05:12)	 (Not Deleted)
2,264,1,S, 	(21-FEB-2025 10:05:12)	 (Not Deleted)
2,264,2,S, 	(21-FEB-2025 10:05:12)	 (Not Deleted)
2,264,1,S, 	(21-FEB-2025 10:05:12)	 (Not Deleted)
2,264,1,S, 	(21-FEB-2025 10:05:12)	 (Not Deleted)
2,264,1,S, 	(21-FEB-2025 10:05:12)	 (Not Deleted)
2,264,1,S, 	(21-FEB-2025 10:05:12)	 (Not Deleted)
2,264,1,S, 	(21-FEB-2025 10:05:12)	 (Not Deleted)
2,264,1,S, 	(21-FEB-2025 10:05:12)	 (Not Deleted)
2,264,1,S, 	(21-FEB-2025 10:05:12)	 (Not Deleted)
2,264,1,S, 	(21-FEB-2025 10:05:12)	 (Not Deleted)
2,264,1,S, 	(21-FEB-2025 10:05:12)	 (Not Deleted)
2,264,1,S, 	(21-FEB-2025 10:05:12)	 (Not Deleted)
2,264,2,S, 	(21-FEB-2025 10:05:12)	 (Not Deleted)
2,264,1,S, 	(21-FEB-2025 10:05:12)	 (Not Deleted)
2,264,2,S, 	(21-FEB-2025 10:05:12)	 (Not Deleted)
