

<<ROLLBACK_START>>,<<FMS_ENTITY_BU_SVC_TAX_DTL()>>,,,,,, 	(13-MAR-2025 11:32:20)
 
COMPANY_CD,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,INVOICE_TYPE,EFF_DT,BU_UNIT,TIMESTAMP
2,232,S,1,SF,15/11/2010 00:00:00,1, 	(13-MAR-2025 11:32:21)
2,232,S,1,SF,22/05/2012 00:00:00,1, 	(13-MAR-2025 11:32:21)
2,264,S,1,SF,26/04/2013 00:00:00,1, 	(13-MAR-2025 11:32:21)
2,265,H,1,CH,24/06/2016 00:00:00,1, 	(13-MAR-2025 11:32:21)

TOTAL DATA DELETED : ,4,,,,,, 	(13-MAR-2025 11:32:21)
 

<<ROLLBACK_END>>,<<FMS_ENTITY_BU_SVC_TAX_DTL()>>,,,,,, 	(13-MAR-2025 11:32:21)
 
