

<<ROLLBACK_START>>,<<FMS_METER_MST()>>,,,, 	(21-FEB-2025 12:07:14)
 
COMPANY_CD,COUNTERPARTY_CD,PLANT_SEQ,METER_TYPE,METER_SEQ,TIMESTAMP
2,45,1,R,1, 	(21-FEB-2025 12:07:15)
2,45,2,R,1, 	(21-FEB-2025 12:07:15)
2,45,3,R,1, 	(21-FEB-2025 12:07:15)
2,45,4,R,1, 	(21-FEB-2025 12:07:15)
2,45,4,R,2, 	(21-FEB-2025 12:07:15)
2,4,1,R,1, 	(21-FEB-2025 12:07:15)
2,4,1,R,2, 	(21-FEB-2025 12:07:15)
2,4,1,R,3, 	(21-FEB-2025 12:07:15)
2,4,2,R,1, 	(21-FEB-2025 12:07:15)
2,4,2,R,2, 	(21-FEB-2025 12:07:15)
2,4,3,R,1, 	(21-FEB-2025 12:07:15)
2,4,3,R,2, 	(21-FEB-2025 12:07:15)
2,4,4,R,1, 	(21-FEB-2025 12:07:15)
2,4,4,R,2, 	(21-FEB-2025 12:07:15)
2,4,5,R,1, 	(21-FEB-2025 12:07:15)
2,4,6,R,1, 	(21-FEB-2025 12:07:15)
2,4,7,R,1, 	(21-FEB-2025 12:07:15)
2,4,7,R,2, 	(21-FEB-2025 12:07:15)
2,4,8,R,1, 	(21-FEB-2025 12:07:15)
2,4,8,R,2, 	(21-FEB-2025 12:07:15)
2,4,9,R,1, 	(21-FEB-2025 12:07:15)
2,4,9,R,2, 	(21-FEB-2025 12:07:15)
2,53,1,R,2, 	(21-FEB-2025 12:07:15)
2,29,1,R,1, 	(21-FEB-2025 12:07:15)
2,29,1,R,2, 	(21-FEB-2025 12:07:15)
2,29,1,R,3, 	(21-FEB-2025 12:07:15)
2,29,2,R,1, 	(21-FEB-2025 12:07:15)
2,29,3,R,1, 	(21-FEB-2025 12:07:15)
2,29,3,R,2, 	(21-FEB-2025 12:07:15)
2,29,4,R,1, 	(21-FEB-2025 12:07:15)
2,29,4,R,2, 	(21-FEB-2025 12:07:15)
2,29,5,R,1, 	(21-FEB-2025 12:07:15)
2,29,5,R,2, 	(21-FEB-2025 12:07:15)
2,29,6,R,1, 	(21-FEB-2025 12:07:15)
2,29,6,R,2, 	(21-FEB-2025 12:07:15)
2,29,7,R,1, 	(21-FEB-2025 12:07:15)
2,29,8,R,1, 	(21-FEB-2025 12:07:15)
2,29,8,R,2, 	(21-FEB-2025 12:07:15)
2,168,1,R,1, 	(21-FEB-2025 12:07:15)
2,168,2,R,1, 	(21-FEB-2025 12:07:15)
2,134,1,R,1, 	(21-FEB-2025 12:07:15)
2,134,1,R,2, 	(21-FEB-2025 12:07:15)
2,45,0,R,0, 	(21-FEB-2025 12:07:15)
2,4,0,R,0, 	(21-FEB-2025 12:07:15)
2,53,0,R,0, 	(21-FEB-2025 12:07:15)
2,29,0,R,0, 	(21-FEB-2025 12:07:15)
2,168,0,R,0, 	(21-FEB-2025 12:07:15)
2,134,0,R,0, 	(21-FEB-2025 12:07:15)
1,3,1,R,1, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
1,4,1,R,1, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
1,4,2,R,1, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
1,4,3,R,1, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
1,5,1,R,1, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
1,6,1,R,1, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
2,4,10,R,0, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
2,4,10,R,1, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
2,4,11,R,0, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
2,4,11,R,1, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
2,4,11,R,2, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
2,4,12,R,0, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
2,4,12,R,1, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
2,4,13,R,0, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
2,4,13,R,1, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
2,29,9,R,0, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
2,29,9,R,1, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
2,29,9,R,2, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
2,29,10,R,0, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
2,29,10,R,1, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
2,29,11,R,0, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
2,29,11,R,1, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
2,29,12,R,0, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
2,29,12,R,1, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
2,29,13,R,0, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
2,29,13,R,1, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
2,53,1,R,0, 	(21-FEB-2025 12:07:15)	 (Not Deleted)
2,53,1,R,1, 	(21-FEB-2025 12:07:15)	 (Not Deleted)

TOTAL DATA DELETED : ,48,,,, 	(21-FEB-2025 12:07:15)
 

<<ROLLBACK_END>>,<<FMS_METER_MST()>>,,,, 	(21-FEB-2025 12:07:15)
 
