

<<ROLLBACK_START>>,<<FMS_TRADER_CONT_BU>>,,,,,,, 	(03-APR-2025 19:58:31)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,1,,0,0,,4,I,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,1,,0,0,,4,I,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,15,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,15,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,15,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,20,,0,0,,0,T,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,20,,0,0,,0,T,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,20,,0,0,,1,T,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,20,,0,0,,0,T,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,20,,0,0,,0,T,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,20,,0,0,,1,T,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,20,,0,0,,1,T,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,20,,0,0,,0,T,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,20,,0,0,,0,T,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,20,,0,0,,0,T,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,20,,0,0,,1,T,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,20,,0,0,,0,T,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,20,,0,0,,1,T,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,20,,0,0,,0,T,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,20,,0,0,,0,T,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,20,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,20,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,20,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,20,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,20,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,20,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,43,,0,0,,0,D,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,43,,0,0,,1,D,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:58:31)	 (Not Deleted)
