

<<START>>,<<FMS_TRUCK_TRANSPORTER_MST>>,, 	(27-MAY-2025 15:03:35)
 
ENT_PROFILE,TRUCK_TRANS_CD,EFF_DT,TIMESTAMP,
2,1,01/12/2020 00:00:00, 	(27-MAY-2025 15:03:35)	 (Not Inserted)
2,2,01/12/2020 00:00:00, 	(27-MAY-2025 15:03:35)	 (Not Inserted)
2,3,01/01/2021 00:00:00, 	(27-MAY-2025 15:03:35)	 (Not Inserted)
2,4,01/01/2021 00:00:00, 	(27-MAY-2025 15:03:35)	 (Not Inserted)
2,5,01/01/2021 00:00:00, 	(27-MAY-2025 15:03:35)	 (Not Inserted)
2,6,01/01/2021 00:00:00, 	(27-MAY-2025 15:03:35)	 (Not Inserted)
2,7,01/01/2021 00:00:00, 	(27-MAY-2025 15:03:35)	 (Not Inserted)
2,8,01/02/2021 00:00:00, 	(27-MAY-2025 15:03:35)	 (Not Inserted)
2,9,01/02/2021 00:00:00, 	(27-MAY-2025 15:03:35)	 (Not Inserted)
2,10,15/02/2021 00:00:00, 	(27-MAY-2025 15:03:35)	 (Not Inserted)
2,11,19/04/2021 00:00:00, 	(27-MAY-2025 15:03:35)	 (Not Inserted)
2,12,31/08/2021 00:00:00, 	(27-MAY-2025 15:03:35)	 (Not Inserted)
2,13,12/05/2022 00:00:00, 	(27-MAY-2025 15:03:35)	 (Not Inserted)
2,14,17/11/2022 00:00:00, 	(27-MAY-2025 15:03:35)	 (Not Inserted)
2,15,01/02/2023 00:00:00, 	(27-MAY-2025 15:03:35)	 (Not Inserted)
2,16,10/03/2023 00:00:00, 	(27-MAY-2025 15:03:35)	 (Not Inserted)
2,17,13/03/2023 00:00:00, 	(27-MAY-2025 15:03:35)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,17,, 	(27-MAY-2025 15:03:35)
 

TOTAL DATA INSERTED : ,0,, 	(27-MAY-2025 15:03:35)
 

TOTAL SKIPPED DATA ,17,, 	(27-MAY-2025 15:03:35)
 
<<END>>,<<FMS_TRUCK_TRANSPORTER_MST>>,, 	(27-MAY-2025 15:03:35)
 

<<START>>,<<FMS_TRUCK_TRANSPORTER_MST>>,, 	(27-MAY-2025 15:03:48)
 
ENT_PROFILE,TRUCK_TRANS_CD,EFF_DT,TIMESTAMP,
2,1,01/12/2020 00:00:00, 	(27-MAY-2025 15:03:48)
2,2,01/12/2020 00:00:00, 	(27-MAY-2025 15:03:48)
2,3,01/01/2021 00:00:00, 	(27-MAY-2025 15:03:48)
2,4,01/01/2021 00:00:00, 	(27-MAY-2025 15:03:48)
2,5,01/01/2021 00:00:00, 	(27-MAY-2025 15:03:48)
2,6,01/01/2021 00:00:00, 	(27-MAY-2025 15:03:48)
2,7,01/01/2021 00:00:00, 	(27-MAY-2025 15:03:48)
2,8,01/02/2021 00:00:00, 	(27-MAY-2025 15:03:48)
2,9,01/02/2021 00:00:00, 	(27-MAY-2025 15:03:48)
2,10,15/02/2021 00:00:00, 	(27-MAY-2025 15:03:48)
2,11,19/04/2021 00:00:00, 	(27-MAY-2025 15:03:48)
2,12,31/08/2021 00:00:00, 	(27-MAY-2025 15:03:48)
2,13,12/05/2022 00:00:00, 	(27-MAY-2025 15:03:48)
2,14,17/11/2022 00:00:00, 	(27-MAY-2025 15:03:48)
2,15,01/02/2023 00:00:00, 	(27-MAY-2025 15:03:48)
2,16,10/03/2023 00:00:00, 	(27-MAY-2025 15:03:48)
2,17,13/03/2023 00:00:00, 	(27-MAY-2025 15:03:48)

TOTAL DATA IN EXCEL : ,17,, 	(27-MAY-2025 15:03:48)
 

TOTAL DATA INSERTED : ,17,, 	(27-MAY-2025 15:03:48)
 

TOTAL SKIPPED DATA ,0,, 	(27-MAY-2025 15:03:48)
 
<<END>>,<<FMS_TRUCK_TRANSPORTER_MST>>,, 	(27-MAY-2025 15:03:48)
 
