

<<START>>,<<FMS_COUNTERPARTY_MST>>,, 	(17-MAY-2025 17:52:51)
 
CD,ABBR,EFF_DT,TIMESTAMP
1 , RIL,14/09/2008 00:00:00, 	(17-MAY-2025 17:52:51)
2 , MGL,16/07/2009 00:00:00, 	(17-MAY-2025 17:52:51)
3 , GSPCL,24/03/2005 00:00:00, 	(17-MAY-2025 17:52:51)
4 , Gail,08/03/2007 00:00:00, 	(17-MAY-2025 17:52:51)
 , BPL,09/04/2010 00:00:00, 	(17-MAY-2025 17:52:51)	 (Not Inserted)
 , BPL,09/12/2022 00:00:00, 	(17-MAY-2025 17:52:51)	 (Not Inserted)
 , EPL,09/04/2010 00:00:00, 	(17-MAY-2025 17:52:51)	 (Not Inserted)
 , EPL,09/12/2022 00:00:00, 	(17-MAY-2025 17:52:51)	 (Not Inserted)
217 , ESL,01/04/2006 00:00:00, 	(17-MAY-2025 17:52:51)	 (Not Inserted)
217 , ESL,09/12/2022 00:00:00, 	(17-MAY-2025 17:52:51)
5 , NTPC,01/06/2006 00:00:00, 	(17-MAY-2025 17:52:51)
6 , KRIBHCO,05/12/2007 00:00:00, 	(17-MAY-2025 17:52:51)
7 , DFPCL,03/12/2007 00:00:00, 	(17-MAY-2025 17:52:51)
8 , AIGL,22/07/2009 00:00:00, 	(17-MAY-2025 17:52:51)
218 , ESEZ,04/04/2008 00:00:00, 	(17-MAY-2025 17:52:51)	 (Not Inserted)
 , KSFL,20/12/2007 00:00:00, 	(17-MAY-2025 17:52:51)	 (Not Inserted)
242 , MAHAGENCO,16/04/2008 00:00:00, 	(17-MAY-2025 17:52:51)	 (Not Inserted)
249 , NPL,28/02/2008 00:00:00, 	(17-MAY-2025 17:52:51)	 (Not Inserted)
9 , SIGIL,11/10/2022 00:00:00, 	(17-MAY-2025 17:52:51)
9 , SIGIL,01/04/2009 00:00:00, 	(17-MAY-2025 17:52:51)
225 , VIL,12/12/2007 00:00:00, 	(17-MAY-2025 17:52:51)	 (Not Inserted)
