

<<START>>,<<FMS_TRADER_CONT_BU>>,,,,,, 	(01-APR-2025 15:02:36)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,1, , ,, ,, 	(01-APR-2025 15:02:36)	 (Not Inserted)
2,1, , ,, ,, 	(01-APR-2025 15:02:36)	 (Not Inserted)
2,null, , ,, ,, 	(01-APR-2025 15:02:36)	 (Not Inserted)
2,51, , ,, ,, 	(01-APR-2025 15:02:36)	 (Not Inserted)
2,51, 0, 0,825067, 1,, 	(01-APR-2025 15:02:36)
2,51, 0, 0,825068, 0,, 	(01-APR-2025 15:02:36)
2,51, 0, 0,825068, 1,, 	(01-APR-2025 15:02:36)
2,43, 0, 0,825042, 0,, 	(01-APR-2025 15:02:36)
2,43, 0, 0,825042, 1,, 	(01-APR-2025 15:02:36)
2,20, 0, 0,825076, 0,, 	(01-APR-2025 15:02:36)
2,20, 0, 0,825076, 1,, 	(01-APR-2025 15:02:36)
2,154, 0, 0,825094, 1,, 	(01-APR-2025 15:02:36)
2,154, 0, 0,825094, 2,, 	(01-APR-2025 15:02:36)
2,154, 0, 0,825094, 3,, 	(01-APR-2025 15:02:36)
2,154, 0, 0,825094, 4,, 	(01-APR-2025 15:02:36)
2,154, 0, 0,825094, 5,, 	(01-APR-2025 15:02:36)
2,154, 0, 0,825101, 0,, 	(01-APR-2025 15:02:36)
2,1, 0, 0,825026, 0,, 	(01-APR-2025 15:02:36)
2,1, 0, 0,825026, 0,, 	(01-APR-2025 15:02:36)	 (Not Inserted)
2,1, 0, 0,825026, 0,, 	(01-APR-2025 15:02:36)
2,1, 0, 0,825026, 0,, 	(01-APR-2025 15:02:36)	 (Not Inserted)
2,1, 0, 0,825026, 1,, 	(01-APR-2025 15:02:36)
2,1, 0, 0,825026, 1,, 	(01-APR-2025 15:02:36)	 (Not Inserted)
2,1, 0, 0,825026, 1,, 	(01-APR-2025 15:02:36)
2,1, 0, 0,825026, 1,, 	(01-APR-2025 15:02:36)	 (Not Inserted)
2,1, 0, 0,825026, 2,, 	(01-APR-2025 15:02:36)
2,1, 0, 0,825026, 2,, 	(01-APR-2025 15:02:36)
2,1, 0, 0,825026, 3,, 	(01-APR-2025 15:02:36)
2,1, 0, 0,825026, 3,, 	(01-APR-2025 15:02:36)
2,1, 0, 0,825026, 4,, 	(01-APR-2025 15:02:36)
2,1, 0, 0,825026, 4,, 	(01-APR-2025 15:02:36)
2,1, 0, 0,825026, 5,, 	(01-APR-2025 15:02:36)
2,1, 0, 0,825026, 5,, 	(01-APR-2025 15:02:36)
2,1, 0, 0,825014, 4,, 	(01-APR-2025 15:02:36)	 (Not Inserted)
2,1, 0, 0,825014, 4,, 	(01-APR-2025 15:02:36)	 (Not Inserted)
2,159, 0, 0,825120, 1,, 	(01-APR-2025 15:02:36)
2,159, 0, 0,825120, 1,, 	(01-APR-2025 15:02:36)
2,43, 0, 0,825057, 0,, 	(01-APR-2025 15:02:36)
2,43, 0, 0,825057, 1,, 	(01-APR-2025 15:02:36)
2,64, 0, 0,825124, 0,, 	(01-APR-2025 15:02:36)
2,20, 0, 0,825078, 0,, 	(01-APR-2025 15:02:36)
2,20, 0, 0,825079, 0,, 	(01-APR-2025 15:02:36)
2,1, 0, 0,825036, 2,, 	(01-APR-2025 15:02:36)
2,1, 0, 0,825036, 2,, 	(01-APR-2025 15:02:36)
2,43, 0, 0,825057, 2,, 	(01-APR-2025 15:02:36)
2,43, 0, 0,825057, 2,, 	(01-APR-2025 15:02:36)
2,51, 0, 0,825065, 1,, 	(01-APR-2025 15:02:36)
2,null, , ,, ,, 	(01-APR-2025 15:02:36)	 (Not Inserted)
2,1, 0, 0,825018, 2,, 	(01-APR-2025 15:02:36)	 (Not Inserted)
