

<<START>>,<<FMS_BUY_CARGO_ALLOC>>,,,, 	(20-MAY-2025 11:30:02)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONTRACT_TYPE,CONT_NO,CONT_REV,CARGO_NO,ALLOC_REV,TIMESTAMP
2,256, M, 1 ,0, N, 719001 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 719004 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 719002 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 719003 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 719005 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 719010 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 719008 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 719006 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 719009 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 719007 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 719011 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 719014 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720023 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 719015 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720018 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720017 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720001 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720016 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720002 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720019 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720003 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720024 ,0, 3, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720020 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720004 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720005 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720010 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720024 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720024 ,0, 4, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720024 ,0, 2, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720027 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720014 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720028 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 721011 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720029 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 721008 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720030 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 721009 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 721006 ,0, 3, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 721010 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 721006 ,0, 2, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 721013 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 721011 ,0, 2, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 719012 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720006 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 719013 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720021 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720007 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720022 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720012 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720025 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720009 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720012 ,0, 2, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720013 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720013 ,0, 2, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720026 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 720015 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 721007 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 721006 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 721010 ,0, 2, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 721012 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 714005 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 714002 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 714003 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 714007 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 711010 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
