

<<START>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,,,,, 	(18-MAR-2025 14:34:06)
 
COMPANY_CD,CD,ABBR,ENTITY,PLANT_SEQ_NO,BU_UNIT,EFF_DT,TIMESTAMP
2,1 , RIL , C , 1 , 2 , 01/06/2021 00:00:00, 	(18-MAR-2025 14:34:06)
2,1 , RIL , C , 18 , 2 , 01/06/2021 00:00:00, 	(18-MAR-2025 14:34:06)
2,1 , RIL , C , 2 , 1 , 01/04/2010 00:00:00, 	(18-MAR-2025 14:34:06)	 (Not Inserted)
2,1 , RIL , C , 3 , 1 , 01/04/2010 00:00:00, 	(18-MAR-2025 14:34:06)	 (Not Inserted)
2,1 , RIL , C , 4 , 1 , 01/04/2010 00:00:00, 	(18-MAR-2025 14:34:06)	 (Not Inserted)
2,1 , RIL , C , 5 , 1 , 01/04/2010 00:00:00, 	(18-MAR-2025 14:34:06)	 (Not Inserted)
2,1 , RIL , C , 8 , 1 , 01/04/2010 00:00:00, 	(18-MAR-2025 14:34:06)
2,1 , RIL , C , 15 , 1 , 01/04/2010 00:00:00, 	(18-MAR-2025 14:34:06)
2,1 , RIL , C , 6 , 1 , 01/04/2008 00:00:00, 	(18-MAR-2025 14:34:06)
2,1 , RIL , C , 17 , 1 , 01/01/2019 00:00:00, 	(18-MAR-2025 14:34:06)
2,1 , RIL , C , 16 , 1 , 01/01/2019 00:00:00, 	(18-MAR-2025 14:34:06)
2,2 , MGL , C , 1 , 2 , 01/06/2021 00:00:00, 	(18-MAR-2025 14:34:06)
2,2 , MGL , C , 1 , 1 , 01/04/2010 00:00:00, 	(18-MAR-2025 14:34:06)
2,3 , GSPCL , C , 1 , 1 , 01/09/2017 00:00:00, 	(18-MAR-2025 14:34:06)
2,3 , GSPCL , C , 3 , 2 , 01/06/2021 00:00:00, 	(18-MAR-2025 14:34:06)
2,3 , GSPCL , C , 1 , 1 , 01/05/2005 00:00:00, 	(18-MAR-2025 14:34:06)	 (Not Inserted)
2,3 , GSPCL , C , 1 , 1 , 01/04/2010 00:00:00, 	(18-MAR-2025 14:34:06)	 (Not Inserted)
2,3 , GSPCL , C , 2 , 1 , 01/04/2010 00:00:00, 	(18-MAR-2025 14:34:06)
2,4 , Gail , C , 1 , 1 , 01/09/2017 00:00:00, 	(18-MAR-2025 14:34:06)
2,4 , Gail , C , 3 , 2 , 01/06/2021 00:00:00, 	(18-MAR-2025 14:34:06)
2,4 , Gail , C , 7 , 1 , 01/04/2010 00:00:00, 	(18-MAR-2025 14:34:06)
2,4 , Gail , C , 8 , 1 , 01/04/2010 00:00:00, 	(18-MAR-2025 14:34:06)
2,4 , Gail , C , 1 , 1 , 01/04/2010 00:00:00, 	(18-MAR-2025 14:34:06)	 (Not Inserted)
2,4 , Gail , C , 2 , 1 , 01/04/2010 00:00:00, 	(18-MAR-2025 14:34:06)
2,4 , Gail , C , 4 , 1 , 01/04/2010 00:00:00, 	(18-MAR-2025 14:34:06)
2,5 , NTPC , C , 2 , 1 , 01/09/2017 00:00:00, 	(18-MAR-2025 14:34:06)
2,5 , NTPC , C , 1 , 1 , 01/09/2017 00:00:00, 	(18-MAR-2025 14:34:06)
2,5 , NTPC , C , 3 , 2 , 01/04/2022 00:00:00, 	(18-MAR-2025 14:34:06)
2,5 , NTPC , C , 2 , 2 , 01/04/2022 00:00:00, 	(18-MAR-2025 14:34:06)
2,5 , NTPC , C , 1 , 2 , 01/04/2022 00:00:00, 	(18-MAR-2025 14:34:06)
2,5 , NTPC , C , 4 , 2 , 01/04/2022 00:00:00, 	(18-MAR-2025 14:34:06)
2,5 , NTPC , C , 6 , 2 , 01/04/2022 00:00:00, 	(18-MAR-2025 14:34:06)
2,5 , NTPC , C , 5 , 2 , 01/04/2022 00:00:00, 	(18-MAR-2025 14:34:06)
2,5 , NTPC , C , 5 , 1 , 01/01/2019 00:00:00, 	(18-MAR-2025 14:34:06)
2,5 , NTPC , C , 6 , 1 , 01/01/2019 00:00:00, 	(18-MAR-2025 14:34:06)
2,5 , NTPC , C , 4 , 1 , 01/01/2019 00:00:00, 	(18-MAR-2025 14:34:06)
2,5 , NTPC , C , 3 , 1 , 01/01/2019 00:00:00, 	(18-MAR-2025 14:34:06)
2,6 , KRIBHCO , C , 1 , 1 , 01/09/2017 00:00:00, 	(18-MAR-2025 14:34:06)
2,6 , KRIBHCO , C , 1 , 2 , 01/04/2022 00:00:00, 	(18-MAR-2025 14:34:06)
2, , Kribhco , C , 1 , 1 , 01/04/2010 00:00:00, 	(18-MAR-2025 14:34:06)	 (Not Inserted)
2,7 , DFPCL , C , 1 , 2 , 01/06/2021 00:00:00, 	(18-MAR-2025 14:34:06)
2,9 , SIGIL , C , 1 , 1 , 01/04/2010 00:00:00, 	(18-MAR-2025 14:34:06)
2,10 , GGCL , C , 1 , 1 , 01/04/2010 00:00:00, 	(18-MAR-2025 14:34:06)	 (Not Inserted)
2,11 , TPL , C , 1 , 1 , 05/09/2017 00:00:00, 	(18-MAR-2025 14:34:06)
2,11 , TPL , C , 1 , 1 , 01/04/2010 00:00:00, 	(18-MAR-2025 14:34:06)	 (Not Inserted)
2,280 , WMSL , C , 1 , 1 , 01/04/2010 00:00:00, 	(18-MAR-2025 14:34:06)
2,12 , MNGL , C , 1 , 1 , 01/04/2010 00:00:00, 	(18-MAR-2025 14:34:06)
