

<<START>>,<<FMS_COUNTERPARTY_MST>>,, 	(28-FEB-2025 14:34:24)
 
CD,ABBR,EFF_DT,TIMESTAMP
1 , RIL,14/09/2008 00:00:00, 	(28-FEB-2025 14:34:25)
2 , MGL,16/07/2009 00:00:00, 	(28-FEB-2025 14:34:25)
3 , GSPCL,24/03/2005 00:00:00, 	(28-FEB-2025 14:34:25)
4 , Gail,08/03/2007 00:00:00, 	(28-FEB-2025 14:34:25)
 , BPL,09/04/2010 00:00:00, 	(28-FEB-2025 14:34:25)	 (Not Inserted)
 , EPL,09/04/2010 00:00:00, 	(28-FEB-2025 14:34:25)	 (Not Inserted)
217 , ESL,01/04/2006 00:00:00, 	(28-FEB-2025 14:34:25)
5 , NTPC,01/06/2006 00:00:00, 	(28-FEB-2025 14:34:25)
6 , KRIBHCO,05/12/2007 00:00:00, 	(28-FEB-2025 14:34:25)
7 , DFPCL,03/12/2007 00:00:00, 	(28-FEB-2025 14:34:25)
8 , AIGL,22/07/2009 00:00:00, 	(28-FEB-2025 14:34:25)
218 , ESEZ,04/04/2008 00:00:00, 	(28-FEB-2025 14:34:25)
 , KSFL,20/12/2007 00:00:00, 	(28-FEB-2025 14:34:25)	 (Not Inserted)
242 , MAHAGENCO,16/04/2008 00:00:00, 	(28-FEB-2025 14:34:25)
249 , NPL,28/02/2008 00:00:00, 	(28-FEB-2025 14:34:25)
9 , SIGIL,11/10/2022 00:00:00, 	(28-FEB-2025 14:34:25)
9 , SIGIL,01/04/2009 00:00:00, 	(28-FEB-2025 14:34:25)
225 , VIL,12/12/2007 00:00:00, 	(28-FEB-2025 14:34:25)
 , VSIL,23/05/2009 00:00:00, 	(28-FEB-2025 14:34:25)	 (Not Inserted)
10 , GGCL,11/05/2012 00:00:00, 	(28-FEB-2025 14:34:25)
11 , TPL,04/08/2012 00:00:00, 	(28-FEB-2025 14:34:25)
280 , WMSL,31/05/2011 00:00:00, 	(28-FEB-2025 14:34:25)
12 , MNGL,20/06/2013 00:00:00, 	(28-FEB-2025 14:34:25)
