

<<START>>,<<FMS_TRADER_CONT_BU>>,,,,,, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824002, 0,I, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824003, 1,I, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824003, 0,I, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823016, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823017, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823018, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823019, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823020, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823021, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823022, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823023, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823024, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823025, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823026, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823027, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823028, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823029, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823030, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823031, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823032, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823033, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823034, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823035, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823036, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823037, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823038, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823039, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823040, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823041, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823042, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823043, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823044, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823045, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823046, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823047, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823048, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823049, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823050, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823051, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823052, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823016, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823017, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823018, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823019, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823020, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823021, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823022, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823023, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823024, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823025, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823026, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823027, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823028, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823029, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823030, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823031, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823032, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823033, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823034, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823035, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823036, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823037, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823038, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823039, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823040, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823041, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823042, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823043, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823044, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823045, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823046, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823047, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823048, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823049, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823050, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823051, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823052, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823016, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823017, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823018, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823019, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823020, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823021, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823022, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823023, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823024, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823025, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823026, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823027, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823028, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823029, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823030, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823031, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823032, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823033, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823034, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823035, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823036, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823037, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823038, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823039, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823040, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823041, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823042, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823043, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823044, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823045, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823046, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823047, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823048, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823049, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823050, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823051, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823052, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823016, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823017, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823018, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823019, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823020, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823021, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823022, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823023, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823024, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823025, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823026, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823027, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823028, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823029, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823030, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823031, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823032, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823033, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823034, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823035, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823036, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823037, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823038, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823039, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823040, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823041, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823042, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823043, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823044, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823045, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823046, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823047, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823048, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823049, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823050, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823051, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823052, 3,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823016, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823017, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823018, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823019, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823020, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823021, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823022, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823023, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823024, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823025, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823026, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823027, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823028, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823029, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823030, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823031, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823032, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823033, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823034, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823035, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823036, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823037, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823038, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823039, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823040, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823041, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823042, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823043, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823044, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823045, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823046, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823047, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823048, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823049, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823050, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823051, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823052, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823016, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823017, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823018, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823019, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823020, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823021, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823022, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823023, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823024, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823025, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823026, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823027, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823028, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823029, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823030, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823031, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823032, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823033, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823034, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823035, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823036, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823037, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823038, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823039, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823040, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823041, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823042, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823043, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823044, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823045, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823046, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823047, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823048, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823049, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823050, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823051, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823052, 2,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823001, 2,I, 	(19-MAY-2025 11:59:05)	 (Not Inserted)
2,1, 0, 0,823001, 2,I, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823001, 1,I, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823001, 1,I, 	(19-MAY-2025 11:59:05)	 (Not Inserted)
2,1, 0, 0,823001, 0,I, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,823001, 0,I, 	(19-MAY-2025 11:59:05)	 (Not Inserted)
2,1, 0, 0,824004, 21,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 21,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 21,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 21,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 21,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 21,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 20,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 20,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 20,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 20,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 19,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 19,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 19,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 19,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 19,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 19,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 18,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 18,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 18,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 18,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 18,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 18,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 17,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 17,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 17,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 17,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 17,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 17,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 16,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 16,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 16,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 16,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 16,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 16,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 15,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 15,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 15,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 15,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 14,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 14,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 14,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 14,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 14,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 14,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 13,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 13,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 13,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 13,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 13,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 13,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 12,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 12,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 12,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 12,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 12,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 12,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 11,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 11,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 11,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 11,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 11,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 11,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 10,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 10,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 10,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 10,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 10,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 10,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 9,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 9,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 9,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 9,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 8,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 8,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 8,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 8,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 7,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 7,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 7,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 7,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 6,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 6,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 6,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 6,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 5,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 5,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 5,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 5,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824004, 4,D, 	(19-MAY-2025 11:59:05)
2,1, 0, 0,824005, 4,D, 	(19-MAY-2025 11:59:05)
