

<<START>>,<<FMS_TANK_MST>>,, 	(05-MAR-2025 16:10:42)
 
COMPANY_CD,TANK_CD,EFF_DT,TIMESTAMP,
2,1,01/04/2005 00:00:00, 	(05-MAR-2025 16:10:42)
2,1,15/11/2011 00:00:00, 	(05-MAR-2025 16:10:42)
2,1,26/11/2019 00:00:00, 	(05-MAR-2025 16:10:42)
2,1,16/12/2020 00:00:00, 	(05-MAR-2025 16:10:42)
2,2,01/04/2005 00:00:00, 	(05-MAR-2025 16:10:42)
2,2,15/11/2011 00:00:00, 	(05-MAR-2025 16:10:42)
2,2,26/11/2019 00:00:00, 	(05-MAR-2025 16:10:42)
2,2,16/12/2020 00:00:00, 	(05-MAR-2025 16:10:42)

TOTAL DATA IN EXCEL : ,8,, 	(05-MAR-2025 16:10:42)
 

TOTAL DATA INSERTED : ,8,, 	(05-MAR-2025 16:10:42)
 

TOTAL SKIPPED DATA ,0,, 	(05-MAR-2025 16:10:42)
 
<<END>>,<<FMS_TANK_MST>>,, 	(05-MAR-2025 16:10:42)
 
