RIL,1,S,2,0,25,1,725114, 	(13-MAY-2025 16:41:24)
RIL,1,S,2,0,27,1,725117, 	(13-MAY-2025 16:41:24)
RIL,1,S,2,1,41,0,725119, 	(13-MAY-2025 16:41:24)
RIL,1,S,2,1,43,0,725119, 	(13-MAY-2025 16:41:24)
RIL,1,S,2,0,15,0,725029, 	(13-MAY-2025 16:41:24)
RIL,1,S,2,0,20,0,725029, 	(13-MAY-2025 16:41:24)
RIL,1,S,2,0,2,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
RIL,1,S,2,0,4,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
RIL,1,S,2,0,8,0,725105, 	(13-MAY-2025 16:41:24)
RIL,1,S,2,0,9,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
RIL,1,S,2,0,25,0,725114, 	(13-MAY-2025 16:41:24)
RIL,1,L,0,0,220001,0,725172, 	(13-MAY-2025 16:41:24)
RIL,1,L,0,0,220002,0,725155, 	(13-MAY-2025 16:41:24)
RIL,1,L,0,0,220003,0,725147, 	(13-MAY-2025 16:41:24)
MGL,2,S,6,0,5,0,725152, 	(13-MAY-2025 16:41:24)
MGL,2,S,6,0,8,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,S,1,0,1,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,S,1,0,1,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,S,6,2,15,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,S,6,0,4,0,725166, 	(13-MAY-2025 16:41:24)
MGL,2,S,6,2,16,0,825157, 	(13-MAY-2025 16:41:24)
MGL,2,S,6,0,2,0,725145, 	(13-MAY-2025 16:41:24)
MGL,2,S,6,0,5,0,725166, 	(13-MAY-2025 16:41:24)
MGL,2,S,6,0,8,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,S,6,0,1,1,725134, 	(13-MAY-2025 16:41:24)
MGL,2,S,6,0,3,0,725148, 	(13-MAY-2025 16:41:24)
MGL,2,S,6,2,12,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,S,1,0,1,0,725101, 	(13-MAY-2025 16:41:24)
MGL,2,S,3,0,11,1,725119, 	(13-MAY-2025 16:41:24)
MGL,2,S,6,2,14,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,S,6,2,17,0,725197, 	(13-MAY-2025 16:41:24)
MGL,2,S,6,0,3,0,725164, 	(13-MAY-2025 16:41:24)
MGL,2,S,6,0,1,0,725134, 	(13-MAY-2025 16:41:24)
MGL,2,S,1,0,3,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,S,3,0,9,0,725119, 	(13-MAY-2025 16:41:24)
MGL,2,S,6,0,2,0,725146, 	(13-MAY-2025 16:41:24)
MGL,2,S,6,2,12,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,S,1,0,1,0,725103, 	(13-MAY-2025 16:41:24)
MGL,2,S,3,0,8,0,725119, 	(13-MAY-2025 16:41:24)
MGL,2,S,3,0,10,0,725119, 	(13-MAY-2025 16:41:24)
MGL,2,S,6,0,6,0,725184, 	(13-MAY-2025 16:41:24)
MGL,2,S,6,0,1,0,725133, 	(13-MAY-2025 16:41:24)
MGL,2,S,6,2,13,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,S,1,0,1,0,725027, 	(13-MAY-2025 16:41:24)
MGL,2,S,1,0,2,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,S,3,0,11,0,725119, 	(13-MAY-2025 16:41:24)
MGL,2,S,6,2,16,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,S,6,0,10,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,S,6,2,11,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,S,6,2,11,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,S,6,0,7,0,725176, 	(13-MAY-2025 16:41:24)
MGL,2,S,6,0,3,1,725148, 	(13-MAY-2025 16:41:24)
MGL,2,S,1,0,4,0,725028, 	(13-MAY-2025 16:41:24)
MGL,2,S,6,2,16,0,825098, 	(13-MAY-2025 16:41:24)
MGL,2,S,6,0,6,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,S,6,0,9,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,S,6,0,7,0,725183, 	(13-MAY-2025 16:41:24)
MGL,2,X,0,0,122004,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,X,0,0,122001,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,X,0,0,122001,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,X,0,0,122004,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,X,0,0,122002,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,X,0,0,124005,0,725194, 	(13-MAY-2025 16:41:24)
MGL,2,X,0,0,122002,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,X,0,0,122002,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,X,0,0,122003,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,X,0,0,122004,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,,,,,,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,X,0,0,122001,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
MGL,2,X,0,0,124001,0,725194, 	(13-MAY-2025 16:41:24)
MGL,2,X,0,0,124002,0,725194, 	(13-MAY-2025 16:41:24)
MGL,2,X,0,0,124003,0,725194, 	(13-MAY-2025 16:41:24)
MGL,2,X,0,0,124004,0,725194, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,21,0,725065, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,35,0,725073, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,77,0,725118, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,81,0,725035, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,81,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,1,3,86,1,725035, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,89,0,725124, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,38,0,725016, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,43,0,725087, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,48,0,725019, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,54,0,725023, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,59,0,725099, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,59,0,725101, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,59,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,1,3,65,0,725106, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,5,0,725043, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,8,0,725045, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,8,0,725003, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,11,0,725004, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,102,1,725141, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,55,0,725099, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,75,2,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,1,3,20,0,725062, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,104,0,725146, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,105,0,725161, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,116,0,725176, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,117,0,725178, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,117,0,725185, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,121,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,1,3,115,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,1,3,21,0,725009, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,33,0,725076, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,80,0,725034, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,39,0,725081, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,40,0,725018, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,42,0,725020, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,42,0,725021, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,43,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,1,3,47,0,725019, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,54,0,725025, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,59,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,1,3,62,0,725027, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,69,0,725031, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,74,0,725030, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,3,0,725042, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,9,0,725050, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,90,0,725128, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,100,2,725138, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,55,0,725097, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,56,0,725096, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,14,0,725058, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,119,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,1,3,123,0,725196, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,115,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,1,3,118,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,1,3,22,0,725009, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,23,0,725008, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,69,1,725031, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,37,0,725079, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,37,0,725015, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,41,0,725019, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,42,0,725085, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,43,0,725086, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,43,0,725022, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,49,0,725096, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,63,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,1,3,66,0,725028, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,76,0,725112, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,2,0,1,0,725036, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,1,0,725002, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,2,0,725041, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,2,0,725042, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,4,0,725041, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,11,0,725052, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,12,0,725054, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,16,0,725006, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,18,0,725008, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,55,0,725025, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,56,0,725101, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,57,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,1,3,19,0,725063, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,120,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,1,3,107,0,725169, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,102,2,725141, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,29,0,725069, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,30,0,725070, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,35,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,1,3,68,1,725031, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,86,0,725035, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,38,0,725015, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,45,0,725019, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,53,0,725023, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,54,0,725097, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,70,0,725031, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,1,0,725040, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,3,0,725040, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,15,0,725056, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,19,0,725060, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,19,0,725062, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,19,0,725064, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,19,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,1,3,20,0,725064, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,112,0,725180, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,117,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,1,3,123,1,725196, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,4,125,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,1,3,102,0,725141, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,114,0,725088, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,21,0,725062, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,22,0,725064, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,23,0,725065, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,25,0,725066, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,34,0,725073, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,34,0,725074, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,67,1,725031, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,77,1,725118, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,82,0,725035, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,82,1,725035, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,85,0,725035, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,39,0,725017, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,41,0,725083, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,52,0,725097, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,59,0,725102, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,67,0,725031, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,75,0,725111, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,75,0,725112, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,2,0,2,0,725036, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,5,0,725044, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,7,0,725046, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,91,0,725127, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,56,0,725100, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,58,0,725100, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,75,1,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,1,3,106,0,725165, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,110,0,725169, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,111,0,725179, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,21,0,725007, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,13,0,725058, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,24,0,725011, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,26,0,725067, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,28,0,725068, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,32,0,725072, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,78,0,725034, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,70,1,725031, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,71,1,725031, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,87,0,725120, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,88,0,725122, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,88,1,725122, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,36,0,725076, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,36,0,725077, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,44,0,725019, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,44,0,725086, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,44,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,1,3,54,0,725024, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,54,0,725099, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,59,0,725100, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,61,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,1,3,64,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,1,3,71,0,725031, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,75,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,2,0,2,0,725001, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,1,0,725038, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,9,0,725048, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,100,1,725138, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,99,0,725134, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,100,0,725138, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,58,0,725101, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,113,0,725180, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,117,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,1,3,117,0,725091, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,117,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,1,3,109,0,725169, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,102,3,725141, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,122,0,825090, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,22,0,725010, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,23,0,725062, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,23,0,725007, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,27,0,725066, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,31,0,725012, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,33,0,725075, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,35,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,1,3,76,1,725112, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,78,1,725034, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,79,0,725034, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,83,0,725035, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,84,0,725035, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,43,0,725095, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,50,0,725096, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,50,0,725097, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,51,0,725096, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,60,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
GSPCL,3,S,1,3,72,0,725031, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,2,0,2,0,725037, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,3,0,725041, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,8,0,725047, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,8,0,725049, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,12,0,725005, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,17,0,725061, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,101,0,725139, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,55,0,725100, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,57,0,725103, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,117,0,725089, 	(13-MAY-2025 16:41:24)
GSPCL,3,S,1,3,117,0,, 	(13-MAY-2025 16:41:24)	 (Not Inserted)
