

<<START>>,<<FMS_LINK_CHECKPOST_PLANT>>,,,,, 	(02-JUL-2025 09:30:16)
 
COMPANY_CD,COUNTERPARTY_CD,ENTITY_TYPE,PLANT_SEQ_NO,CHKPOST_CD,EFF_DT,TIMESTAMP,
2,34,C,'1' , 2,17/02/2024 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,34,C,'1' , 1,17/02/2024 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,276,C,'1' , 41,16/07/2022 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,207,C,'1' , 41,16/07/2022 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,47,C,'1' , 18,16/03/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,277,C,'1' , 41,21/07/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,202,C,'1' , 7,22/07/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,276,C,'1' , 41,28/07/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,277,C,'1' , 41,28/07/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,198,C,'1' , 40,05/08/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,234,C,'1' , 41,11/08/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,198,C,'1' , 40,01/10/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,276,C,'1' , 41,20/10/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,198,C,'1' , 40,10/12/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,220,C,'1' , 41,27/12/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,150,C,'1' , 41,13/02/2024 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,234,C,'1' , 41,09/08/2022 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,34,C,'1' , 41,01/09/2022 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,208,C,'1' , 41,17/10/2022 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,201,C,'1' , 40,02/11/2022 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,33,C,'1' , 4,10/02/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,33,C,'2' , 7,10/02/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,190,C,'1' , 7,10/02/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,276,C,'1' , 41,05/03/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,150,C,'1' , 41,10/03/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,234,C,'1' , 41,30/03/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,47,C,'1' , 18,19/04/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,220,C,'1' , 41,09/05/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,47,C,'1' , 18,16/05/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,220,C,'1' , 41,01/06/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,276,C,'1' , 41,01/06/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,150,C,'1' , 4,07/06/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,198,C,'1' , 40,07/06/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,150,C,'1' , 41,07/06/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,234,C,'1' , 41,10/06/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,47,C,'1' , 18,10/06/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,150,C,'1' , 41,10/06/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,276,C,'1' , 41,15/06/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,150,C,'1' , 41,10/08/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,202,C,'2' , 7,01/11/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,276,C,'1' , 41,19/12/2023 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,234,C,'1' , 41,01/02/2024 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,276,C,'1' , 41,01/02/2024 00:00:00 ,  	(02-JUL-2025 09:30:16)
2,21,C,'5' , 41,01/07/2022 00:00:00 ,  	(02-JUL-2025 09:30:16)
