

<<START>>,<<FMS_AGMT_BU>>,, 	(26-JUN-2025 18:27:15)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,PLANT_SEQ_NO,TIMESTAMP,
2,1 , RIL,,0,3,1, 	(26-JUN-2025 18:27:15)
2,1 , RIL,,0,3,1, 	(26-JUN-2025 18:27:15)	 (Not Inserted)
2,1 , RIL,,0,3,2, 	(26-JUN-2025 18:27:15)
2,1 , RIL,,0,4,1, 	(26-JUN-2025 18:27:15)
2,1 , RIL,,0,1,1, 	(26-JUN-2025 18:27:15)
2,1 , RIL,,0,2,1, 	(26-JUN-2025 18:27:15)
2,1 , RIL,,1,2,1, 	(26-JUN-2025 18:27:15)
2,2 , MGL,,2,6,1, 	(26-JUN-2025 18:27:15)
2,2 , MGL,,2,6,2, 	(26-JUN-2025 18:27:15)
2,2 , MGL,,1,6,1, 	(26-JUN-2025 18:27:15)
2,2 , MGL,,1,6,2, 	(26-JUN-2025 18:27:15)
2,2 , MGL,,0,6,1, 	(26-JUN-2025 18:27:15)
2,2 , MGL,,0,6,2, 	(26-JUN-2025 18:27:15)
2,2 , MGL,,0,1,1, 	(26-JUN-2025 18:27:15)
2,2 , MGL,,0,2,1, 	(26-JUN-2025 18:27:15)
2,2 , MGL,,0,3,1, 	(26-JUN-2025 18:27:15)
2,2 , MGL,,0,4,1, 	(26-JUN-2025 18:27:15)
2,2 , MGL,,0,5,1, 	(26-JUN-2025 18:27:15)
2,3 , GSPCL,,4,1,1, 	(26-JUN-2025 18:27:15)
2,3 , GSPCL,,0,2,1, 	(26-JUN-2025 18:27:15)
2,4 , Gail,,0,1,1, 	(26-JUN-2025 18:27:15)
2,4 , Gail,,0,2,1, 	(26-JUN-2025 18:27:15)
2,4 , Gail,,1,2,1, 	(26-JUN-2025 18:27:15)
2, , BPL,,0,1,1, 	(26-JUN-2025 18:27:15)	 (Not Inserted)
2, , EPL,,0,1,1, 	(26-JUN-2025 18:27:15)	 (Not Inserted)
2,217 , ESL,,0,1,1, 	(26-JUN-2025 18:27:15)
2,7 , DFPCL,,0,2,1, 	(26-JUN-2025 18:27:15)
2,7 , DFPCL,,0,2,2, 	(26-JUN-2025 18:27:15)
2,7 , DFPCL,,0,1,1, 	(26-JUN-2025 18:27:15)
2,8 , AIGL,,0,1,1, 	(26-JUN-2025 18:27:15)
2,218 , ESEZ,,0,1,1, 	(26-JUN-2025 18:27:15)
2,225 , VIL,,0,1,1, 	(26-JUN-2025 18:27:15)
2, , VSIL,,0,1,1, 	(26-JUN-2025 18:27:15)	 (Not Inserted)
2,10 , GGCL,,0,1,1, 	(26-JUN-2025 18:27:15)
2,11 , TPL,,0,1,1, 	(26-JUN-2025 18:27:15)
2,280 , WMSL,,0,1,1, 	(26-JUN-2025 18:27:15)
2,280 , WMSL,,1,1,1, 	(26-JUN-2025 18:27:15)
2,280 , WMSL,,0,2,1, 	(26-JUN-2025 18:27:15)
2,12 , MNGL,,0,1,1, 	(26-JUN-2025 18:27:15)
2,13 , IGL,,0,2,1, 	(26-JUN-2025 18:27:15)
2,13 , IGL,,0,2,1, 	(26-JUN-2025 18:27:15)	 (Not Inserted)
2,13 , IGL,,0,2,2, 	(26-JUN-2025 18:27:15)
2,13 , IGL,,0,1,1, 	(26-JUN-2025 18:27:15)
2,14 , BPCL,,0,1,1, 	(26-JUN-2025 18:27:15)
2,269 , TEL,,0,1,1, 	(26-JUN-2025 18:27:15)
2,15 , HPCL,,0,2,1, 	(26-JUN-2025 18:27:15)
2,15 , HPCL,,0,2,1, 	(26-JUN-2025 18:27:15)	 (Not Inserted)
2,15 , HPCL,,0,2,2, 	(26-JUN-2025 18:27:15)
2,15 , HPCL,,0,1,1, 	(26-JUN-2025 18:27:15)
2,15 , HPCL,,1,1,1, 	(26-JUN-2025 18:27:15)
2,15 , HPCL,,2,1,1, 	(26-JUN-2025 18:27:15)
2,16 , JSW,,0,1,1, 	(26-JUN-2025 18:27:15)
