

<<START>>,<<FMS_COUNTERPARTY_PLANT_DTL>>,,,,, 	(25-FEB-2025 18:49:10)
 
COMPANY_CD,CD,ABBR,ENTITY,SEQ_NO,EFF_DT,TIMESTAMP,
2 , 1 , RIL , C , 1 , 14/09/2008 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 1 , 16/02/2017 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 1 , 01/10/2024 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 2 , 14/09/2008 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 2 , 16/02/2017 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 3 , 14/09/2008 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 3 , 16/02/2017 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 3 , 16/06/2017 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 4 , 14/09/2008 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 4 , 16/02/2017 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 5 , 14/09/2008 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 5 , 16/02/2017 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 6 , 14/09/2008 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 6 , 24/04/2009 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 7 , 24/04/2009 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 7 , 01/04/2011 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 7 , 16/02/2017 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 7 , 16/06/2017 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 7 , 10/01/2018 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 7 , 21/01/2018 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 7 , 31/01/2018 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 7 , 29/05/2018 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 8 , 01/01/2013 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 8 , 16/02/2017 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 9 , 01/09/2013 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 9 , 16/02/2017 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 10 , 26/09/2013 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 11 , 01/01/2017 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 11 , 01/03/2017 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 12 , 01/01/2017 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 12 , 01/03/2017 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 13 , 01/07/2017 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 14 , 01/07/2017 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 14 , 31/01/2018 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 14 , 29/05/2018 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 15 , 01/01/2020 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 15 , 01/02/2020 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 16 , 16/02/2017 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 17 , 16/02/2017 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 1 , RIL , C , 18 , 01/10/2024 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 2 , MGL , C , 1 , 16/07/2009 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 3 , GSPCL , C , 1 , 24/03/2005 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 3 , GSPCL , C , 1 , 21/04/2006 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 3 , GSPCL , C , 1 , 16/05/2024 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 3 , GSPCL , C , 2 , 21/04/2006 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 3 , GSPCL , C , 3 , 16/05/2024 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 4 , Gail , C , 1 , 08/03/2007 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 4 , Gail , C , 2 , 01/07/2022 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 4 , Gail , C , 2 , 28/05/2024 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 4 , Gail , C , 3 , 01/07/2022 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 4 , Gail , C , 4 , 01/06/2023 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 4 , Gail , C , 5 , 01/06/2023 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 4 , Gail , C , 5 , 01/05/2024 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 4 , Gail , C , 6 , 01/05/2024 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 4 , Gail , C , 7 , 01/05/2024 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 4 , Gail , C , 8 , 28/05/2024 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 4 , Gail , R , 1 , 01/12/2022 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 4 , Gail , R , 2 , 01/12/2022 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 4 , Gail , R , 3 , 01/12/2022 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 4 , Gail , R , 4 , 01/12/2022 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 4 , Gail , R , 5 , 01/12/2022 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 4 , Gail , R , 6 , 01/08/2023 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 4 , Gail , R , 7 , 01/03/2024 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 4 , Gail , R , 8 , 01/11/2024 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 4 , Gail , R , 9 , 01/01/2025 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 217 , ESL , C , 1 , 01/04/2006 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 217 , ESL , C , 1 , 26/08/2006 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 5 , NTPC , C , 2 , 01/06/2006 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 5 , NTPC , C , 2 , 18/11/2006 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 5 , NTPC , C , 3 , 01/06/2006 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 5 , NTPC , C , 3 , 27/01/2007 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 5 , NTPC , C , 4 , 27/01/2007 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 5 , NTPC , C , 5 , 27/01/2007 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 5 , NTPC , C , 6 , 27/01/2007 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 6 , KRIBHCO , C , 1 , 05/12/2007 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 7 , DFPCL , C , 1 , 03/12/2007 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 8 , AIGL , C , 1 , 22/07/2009 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 218 , ESEZ , C , 1 , 04/04/2008 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 284 , KSFL , C , 1 , 20/12/2007 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 242 , MAHAGENCO , C , 1 , 16/04/2008 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 249 , NPL , C , 1 , 28/02/2008 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 9 , SIGIL , C , 1 , 01/04/2009 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 9 , SIGIL , C , 1 , 01/04/2009 00:00:00, 	(25-FEB-2025 18:49:10)	 (Not Inserted)
2 , 225 , VIL , C , 1 , 12/12/2007 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 11 , TPL , C , 1 , 04/08/2012 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 11 , TPL , C , 1 , 20/12/2018 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 280 , WMSL , C , 1 , 31/05/2011 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 280 , WMSL , C , 1 , 25/11/2014 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 12 , MNGL , C , 1 , 20/06/2013 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 13 , IGL , C , 1 , 04/02/2011 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 13 , IGL , C , 2 , 04/02/2011 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 13 , IGL , C , 2 , 01/04/2024 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 13 , IGL , C , 3 , 04/02/2011 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 13 , IGL , C , 4 , 01/10/2022 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 13 , IGL , C , 5 , 01/10/2022 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 13 , IGL , C , 6 , 26/02/2024 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 14 , BPCL , C , 1 , 24/07/2014 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 14 , BPCL , C , 2 , 24/07/2014 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 14 , BPCL , C , 2 , 23/02/2023 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 14 , BPCL , C , 3 , 24/07/2014 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 14 , BPCL , C , 4 , 25/08/2022 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 14 , BPCL , T , 1 , 02/08/2022 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 269 , TEL , C , 1 , 06/08/2014 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 15 , HPCL , C , 1 , 17/11/2010 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 15 , HPCL , C , 1 , 16/09/2014 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 15 , HPCL , C , 1 , 01/05/2024 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 15 , HPCL , C , 1 , 15/05/2024 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 15 , HPCL , C , 1 , 01/01/2025 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 15 , HPCL , C , 2 , 13/02/2015 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 15 , HPCL , C , 3 , 01/10/2021 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 15 , HPCL , C , 4 , 18/03/2023 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 15 , HPCL , C , 5 , 16/07/2023 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 15 , HPCL , C , 5 , 29/07/2023 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 15 , HPCL , T , 1 , 01/01/2020 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 16 , JSW , C , 1 , 31/05/2011 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 16 , JSW , C , 1 , 25/11/2014 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 16 , JSW , C , 1 , 31/05/2011 00:00:00, 	(25-FEB-2025 18:49:10)	 (Not Inserted)
2 , 16 , JSW , C , 1 , 25/11/2014 00:00:00, 	(25-FEB-2025 18:49:10)	 (Not Inserted)
2 , 17 , BGL , C , 1 , 28/07/2016 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 17 , BGL , C , 1 , 28/07/2016 00:00:00, 	(25-FEB-2025 18:49:10)	 (Not Inserted)
2 , 18 , GSFC , C , 1 , 14/03/2016 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 18 , GSFC , C , 2 , 01/01/2023 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 228 , H-Energy , C , 1 , 14/11/2016 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 228 , H-Energy , C , 2 , 14/11/2016 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 160 , SIMPL , C , 1 , 14/11/2016 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 160 , SIMPL , C , 2 , 14/11/2016 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 160 , SIMPL , C , 1 , 14/11/2016 00:00:00, 	(25-FEB-2025 18:49:10)	 (Not Inserted)
2 , 160 , SIMPL , C , 2 , 14/11/2016 00:00:00, 	(25-FEB-2025 18:49:10)	 (Not Inserted)
2 , 19 , ATGL , C , 1 , 13/01/2017 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 19 , ATGL , C , 2 , 06/02/2024 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 19 , ATGL , C , 1 , 13/01/2017 00:00:00, 	(25-FEB-2025 18:49:10)	 (Not Inserted)
2 , 19 , ATGL , C , 2 , 06/02/2024 00:00:00, 	(25-FEB-2025 18:49:10)	 (Not Inserted)
2 , 20 , AMNS , C , 1 , 26/08/2006 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 20 , AMNS , C , 1 , 18/01/2012 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 20 , AMNS , C , 2 , 18/01/2012 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 20 , AMNS , C , 4 , 01/12/2023 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 20 , AMNS , T , 1 , 01/01/2020 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 20 , AMNS , T , 2 , 01/10/2022 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 286 , SEMTPL , C , 1 , 28/07/2017 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 286 , SEMTPL , C , 1 , 01/05/2023 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 286 , SEMTPL , C , 1 , 16/05/2023 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 286 , SEMTPL , C , 2 , 28/07/2017 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 286 , SEMTPL , C , 3 , 28/07/2017 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 286 , SEMTPL , C , 3 , 16/10/2023 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 286 , SEMTPL , C , 4 , 01/03/2023 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 286 , SEMTPL , C , 4 , 01/05/2023 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 286 , SEMTPL , C , 5 , 01/03/2023 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 286 , SEMTPL , C , 6 , 01/05/2023 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 286 , SEMTPL , C , 7 , 01/06/2023 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 286 , SEMTPL , C , 8 , 01/07/2023 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 286 , SEMTPL , C , 9 , 01/07/2023 00:00:00, 	(25-FEB-2025 18:49:10)
2 , 286 , SEMTPL , C , 10 , 15/02/2024 00:00:00, 	(25-FEB-2025 18:49:10)
