

<<START>>,<<FMS_TRUCK_DRIVER_LINK>>,,, 	(05-JUN-2025 16:55:02)
 
ENT_PROFILE,TRUCK_CD,DRIVER_CD,EFF_DT,LINK_SEQ,TIMESTAMP,
2,87,129,11/09/2022 00:00:00,5, 	(05-JUN-2025 16:55:02)
2,58,219,12/09/2022 00:00:00,18, 	(05-JUN-2025 16:55:02)
2,58,117,13/09/2022 00:00:00,12, 	(05-JUN-2025 16:55:02)
2,63,129,13/09/2022 00:00:00,6, 	(05-JUN-2025 16:55:02)
2,87,84,14/09/2022 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,63,51,14/09/2022 00:00:00,9, 	(05-JUN-2025 16:55:02)
2,63,129,15/09/2022 00:00:00,7, 	(05-JUN-2025 16:55:02)
2,58,117,15/09/2022 00:00:00,13, 	(05-JUN-2025 16:55:02)
2,58,116,15/09/2022 00:00:00,18, 	(05-JUN-2025 16:55:02)
2,59,217,15/09/2022 00:00:00,18, 	(05-JUN-2025 16:55:02)
2,58,217,17/09/2022 00:00:00,19, 	(05-JUN-2025 16:55:02)
2,59,116,17/09/2022 00:00:00,19, 	(05-JUN-2025 16:55:02)
2,59,117,18/09/2022 00:00:00,14, 	(05-JUN-2025 16:55:02)
2,59,116,20/09/2022 00:00:00,20, 	(05-JUN-2025 16:55:02)
2,23,224,22/09/2022 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,3,224,22/09/2022 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,59,167,22/09/2022 00:00:00,19, 	(05-JUN-2025 16:55:02)
2,58,121,22/09/2022 00:00:00,33, 	(05-JUN-2025 16:55:02)
2,59,217,23/09/2022 00:00:00,20, 	(05-JUN-2025 16:55:02)
2,63,51,24/09/2022 00:00:00,10, 	(05-JUN-2025 16:55:02)
2,58,117,24/09/2022 00:00:00,15, 	(05-JUN-2025 16:55:02)
2,59,167,24/09/2022 00:00:00,20, 	(05-JUN-2025 16:55:02)
2,59,167,24/09/2022 00:00:00,21, 	(05-JUN-2025 16:55:02)
2,58,219,25/09/2022 00:00:00,19, 	(05-JUN-2025 16:55:02)
2,59,208,26/09/2022 00:00:00,12, 	(05-JUN-2025 16:55:02)
2,63,129,26/09/2022 00:00:00,8, 	(05-JUN-2025 16:55:02)
2,58,217,26/09/2022 00:00:00,21, 	(05-JUN-2025 16:55:02)
2,59,121,26/09/2022 00:00:00,34, 	(05-JUN-2025 16:55:02)
2,30,171,27/09/2022 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,26,120,28/09/2022 00:00:00,15, 	(05-JUN-2025 16:55:02)
2,58,121,28/09/2022 00:00:00,35, 	(05-JUN-2025 16:55:02)
2,55,225,29/09/2022 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,10,128,30/09/2022 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,59,69,30/09/2022 00:00:00,26, 	(05-JUN-2025 16:55:02)
2,64,52,01/10/2022 00:00:00,5, 	(05-JUN-2025 16:55:02)
2,61,133,01/10/2022 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,59,217,01/10/2022 00:00:00,22, 	(05-JUN-2025 16:55:02)
2,58,117,03/10/2022 00:00:00,16, 	(05-JUN-2025 16:55:02)
2,59,121,03/10/2022 00:00:00,36, 	(05-JUN-2025 16:55:02)
2,58,217,04/10/2022 00:00:00,23, 	(05-JUN-2025 16:55:02)
2,63,51,07/10/2022 00:00:00,11, 	(05-JUN-2025 16:55:02)
2,59,219,07/10/2022 00:00:00,20, 	(05-JUN-2025 16:55:02)
2,58,121,08/10/2022 00:00:00,37, 	(05-JUN-2025 16:55:02)
2,59,117,11/10/2022 00:00:00,17, 	(05-JUN-2025 16:55:02)
2,32,226,12/10/2022 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,58,117,13/10/2022 00:00:00,18, 	(05-JUN-2025 16:55:02)
2,59,217,13/10/2022 00:00:00,24, 	(05-JUN-2025 16:55:02)
2,58,217,13/10/2022 00:00:00,25, 	(05-JUN-2025 16:55:02)
2,63,129,14/10/2022 00:00:00,9, 	(05-JUN-2025 16:55:02)
2,58,215,16/10/2022 00:00:00,9, 	(05-JUN-2025 16:55:02)
2,59,121,17/10/2022 00:00:00,38, 	(05-JUN-2025 16:55:02)
2,59,217,20/10/2022 00:00:00,26, 	(05-JUN-2025 16:55:02)
2,59,117,21/10/2022 00:00:00,19, 	(05-JUN-2025 16:55:02)
2,58,217,21/10/2022 00:00:00,27, 	(05-JUN-2025 16:55:02)
2,110,173,22/10/2022 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,58,121,23/10/2022 00:00:00,39, 	(05-JUN-2025 16:55:02)
2,59,167,25/10/2022 00:00:00,22, 	(05-JUN-2025 16:55:02)
2,58,217,27/10/2022 00:00:00,28, 	(05-JUN-2025 16:55:02)
2,59,116,29/10/2022 00:00:00,21, 	(05-JUN-2025 16:55:02)
2,58,121,30/10/2022 00:00:00,40, 	(05-JUN-2025 16:55:02)
2,59,167,02/11/2022 00:00:00,23, 	(05-JUN-2025 16:55:02)
2,58,117,03/11/2022 00:00:00,20, 	(05-JUN-2025 16:55:02)
2,58,121,07/11/2022 00:00:00,41, 	(05-JUN-2025 16:55:02)
2,55,85,11/11/2022 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,58,69,12/11/2022 00:00:00,27, 	(05-JUN-2025 16:55:02)
2,59,116,14/11/2022 00:00:00,22, 	(05-JUN-2025 16:55:02)
2,58,121,15/11/2022 00:00:00,42, 	(05-JUN-2025 16:55:02)
2,59,167,16/11/2022 00:00:00,24, 	(05-JUN-2025 16:55:02)
2,58,217,17/11/2022 00:00:00,29, 	(05-JUN-2025 16:55:02)
2,59,121,20/11/2022 00:00:00,43, 	(05-JUN-2025 16:55:02)
2,61,85,21/11/2022 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,58,69,21/11/2022 00:00:00,28, 	(05-JUN-2025 16:55:02)
2,58,215,24/11/2022 00:00:00,10, 	(05-JUN-2025 16:55:02)
2,58,215,24/11/2022 00:00:00,11, 	(05-JUN-2025 16:55:02)
2,59,167,24/11/2022 00:00:00,25, 	(05-JUN-2025 16:55:02)
2,55,85,25/11/2022 00:00:00,3, 	(05-JUN-2025 16:55:02)
2,58,116,25/11/2022 00:00:00,23, 	(05-JUN-2025 16:55:02)
2,59,215,27/11/2022 00:00:00,12, 	(05-JUN-2025 16:55:02)
2,92,227,28/11/2022 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,23,111,28/11/2022 00:00:00,5, 	(05-JUN-2025 16:55:02)
2,59,69,28/11/2022 00:00:00,29, 	(05-JUN-2025 16:55:02)
2,58,219,29/11/2022 00:00:00,21, 	(05-JUN-2025 16:55:02)
2,59,121,01/12/2022 00:00:00,44, 	(05-JUN-2025 16:55:02)
2,58,167,02/12/2022 00:00:00,26, 	(05-JUN-2025 16:55:02)
2,61,133,05/12/2022 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,59,219,05/12/2022 00:00:00,22, 	(05-JUN-2025 16:55:02)
2,117,56,07/12/2022 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,82,136,08/12/2022 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,59,116,10/12/2022 00:00:00,24, 	(05-JUN-2025 16:55:02)
2,58,116,12/12/2022 00:00:00,25, 	(05-JUN-2025 16:55:02)
2,59,116,12/12/2022 00:00:00,26, 	(05-JUN-2025 16:55:02)
2,58,167,13/12/2022 00:00:00,27, 	(05-JUN-2025 16:55:02)
2,110,84,14/12/2022 00:00:00,3, 	(05-JUN-2025 16:55:02)
2,58,121,17/12/2022 00:00:00,45, 	(05-JUN-2025 16:55:02)
2,58,167,19/12/2022 00:00:00,28, 	(05-JUN-2025 16:55:02)
2,110,173,20/12/2022 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,59,121,20/12/2022 00:00:00,46, 	(05-JUN-2025 16:55:02)
2,58,217,21/12/2022 00:00:00,30, 	(05-JUN-2025 16:55:02)
2,58,69,22/12/2022 00:00:00,30, 	(05-JUN-2025 16:55:02)
2,59,167,22/12/2022 00:00:00,29, 	(05-JUN-2025 16:55:02)
2,87,84,24/12/2022 00:00:00,4, 	(05-JUN-2025 16:55:02)
2,58,69,24/12/2022 00:00:00,31, 	(05-JUN-2025 16:55:02)
2,59,69,24/12/2022 00:00:00,32, 	(05-JUN-2025 16:55:02)
2,59,69,24/12/2022 00:00:00,33, 	(05-JUN-2025 16:55:02)
2,59,121,24/12/2022 00:00:00,47, 	(05-JUN-2025 16:55:02)
2,55,225,25/12/2022 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,61,85,25/12/2022 00:00:00,4, 	(05-JUN-2025 16:55:02)
2,59,217,25/12/2022 00:00:00,31, 	(05-JUN-2025 16:55:02)
2,64,174,26/12/2022 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,58,208,26/12/2022 00:00:00,13, 	(05-JUN-2025 16:55:02)
2,59,116,29/12/2022 00:00:00,27, 	(05-JUN-2025 16:55:02)
2,58,121,29/12/2022 00:00:00,48, 	(05-JUN-2025 16:55:02)
2,5,83,30/12/2022 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,58,69,30/12/2022 00:00:00,34, 	(05-JUN-2025 16:55:02)
2,26,137,31/12/2022 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,59,217,31/12/2022 00:00:00,32, 	(05-JUN-2025 16:55:02)
2,58,116,01/01/2023 00:00:00,28, 	(05-JUN-2025 16:55:02)
2,65,48,02/01/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,59,121,02/01/2023 00:00:00,49, 	(05-JUN-2025 16:55:02)
2,58,69,03/01/2023 00:00:00,35, 	(05-JUN-2025 16:55:02)
2,59,117,04/01/2023 00:00:00,21, 	(05-JUN-2025 16:55:02)
2,59,217,05/01/2023 00:00:00,33, 	(05-JUN-2025 16:55:02)
2,58,116,06/01/2023 00:00:00,29, 	(05-JUN-2025 16:55:02)
2,59,69,06/01/2023 00:00:00,36, 	(05-JUN-2025 16:55:02)
2,117,56,07/01/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,59,215,08/01/2023 00:00:00,13, 	(05-JUN-2025 16:55:02)
2,31,77,09/01/2023 00:00:00,5, 	(05-JUN-2025 16:55:02)
2,59,69,09/01/2023 00:00:00,37, 	(05-JUN-2025 16:55:02)
2,65,86,10/01/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,58,217,10/01/2023 00:00:00,34, 	(05-JUN-2025 16:55:02)
2,61,85,12/01/2023 00:00:00,5, 	(05-JUN-2025 16:55:02)
2,58,215,12/01/2023 00:00:00,14, 	(05-JUN-2025 16:55:02)
2,59,217,13/01/2023 00:00:00,35, 	(05-JUN-2025 16:55:02)
2,58,116,14/01/2023 00:00:00,30, 	(05-JUN-2025 16:55:02)
2,59,217,15/01/2023 00:00:00,36, 	(05-JUN-2025 16:55:02)
2,58,117,16/01/2023 00:00:00,22, 	(05-JUN-2025 16:55:02)
2,61,175,19/01/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,58,215,19/01/2023 00:00:00,15, 	(05-JUN-2025 16:55:02)
2,59,116,19/01/2023 00:00:00,31, 	(05-JUN-2025 16:55:02)
2,58,217,20/01/2023 00:00:00,37, 	(05-JUN-2025 16:55:02)
2,59,215,22/01/2023 00:00:00,16, 	(05-JUN-2025 16:55:02)
2,59,85,23/01/2023 00:00:00,6, 	(05-JUN-2025 16:55:02)
2,59,85,24/01/2023 00:00:00,7, 	(05-JUN-2025 16:55:02)
2,59,215,24/01/2023 00:00:00,17, 	(05-JUN-2025 16:55:02)
2,58,116,24/01/2023 00:00:00,32, 	(05-JUN-2025 16:55:02)
2,59,85,25/01/2023 00:00:00,8, 	(05-JUN-2025 16:55:02)
2,58,215,26/01/2023 00:00:00,18, 	(05-JUN-2025 16:55:02)
2,59,167,28/01/2023 00:00:00,30, 	(05-JUN-2025 16:55:02)
2,32,83,31/01/2023 00:00:00,3, 	(05-JUN-2025 16:55:02)
2,59,117,01/02/2023 00:00:00,23, 	(05-JUN-2025 16:55:02)
2,58,116,01/02/2023 00:00:00,33, 	(05-JUN-2025 16:55:02)
2,59,121,02/02/2023 00:00:00,50, 	(05-JUN-2025 16:55:02)
2,80,138,04/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,66,220,04/02/2023 00:00:00,4, 	(05-JUN-2025 16:55:02)
2,58,167,04/02/2023 00:00:00,31, 	(05-JUN-2025 16:55:02)
2,21,230,06/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,118,228,06/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,119,229,06/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,59,116,06/02/2023 00:00:00,34, 	(05-JUN-2025 16:55:02)
2,35,89,07/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,33,87,07/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,34,88,07/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,36,45,07/02/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,58,121,08/02/2023 00:00:00,51, 	(05-JUN-2025 16:55:02)
2,96,91,09/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,37,95,09/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,94,94,09/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,38,90,09/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,93,92,09/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,95,93,09/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,5,83,09/02/2023 00:00:00,4, 	(05-JUN-2025 16:55:02)
2,67,140,10/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,68,146,10/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,58,167,10/02/2023 00:00:00,32, 	(05-JUN-2025 16:55:02)
2,100,150,11/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,98,147,11/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,97,142,11/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,100,144,11/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,99,150,11/02/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,32,226,11/02/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,58,116,11/02/2023 00:00:00,35, 	(05-JUN-2025 16:55:02)
2,59,217,11/02/2023 00:00:00,38, 	(05-JUN-2025 16:55:02)
2,59,116,12/02/2023 00:00:00,36, 	(05-JUN-2025 16:55:02)
2,102,151,13/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,101,232,13/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,101,232,13/02/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,26,137,14/02/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,69,152,15/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,66,154,15/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,47,155,15/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,58,121,15/02/2023 00:00:00,52, 	(05-JUN-2025 16:55:02)
2,69,153,16/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,39,177,17/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,21,230,18/02/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,105,180,19/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,30,233,21/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,58,167,21/02/2023 00:00:00,33, 	(05-JUN-2025 16:55:02)
2,59,217,21/02/2023 00:00:00,39, 	(05-JUN-2025 16:55:02)
2,67,141,22/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,58,121,23/02/2023 00:00:00,53, 	(05-JUN-2025 16:55:02)
2,112,173,24/02/2023 00:00:00,3, 	(05-JUN-2025 16:55:02)
2,105,179,24/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,21,230,25/02/2023 00:00:00,3, 	(05-JUN-2025 16:55:02)
2,59,116,25/02/2023 00:00:00,37, 	(05-JUN-2025 16:55:02)
2,38,96,27/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,87,129,27/02/2023 00:00:00,10, 	(05-JUN-2025 16:55:02)
2,58,217,27/02/2023 00:00:00,40, 	(05-JUN-2025 16:55:02)
2,99,149,28/02/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,110,52,28/02/2023 00:00:00,6, 	(05-JUN-2025 16:55:02)
2,59,121,02/03/2023 00:00:00,54, 	(05-JUN-2025 16:55:02)
2,69,92,03/03/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,38,181,03/03/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,93,92,03/03/2023 00:00:00,3, 	(05-JUN-2025 16:55:02)
2,69,92,03/03/2023 00:00:00,4, 	(05-JUN-2025 16:55:02)
2,58,217,03/03/2023 00:00:00,41, 	(05-JUN-2025 16:55:02)
2,7,127,04/03/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,56,222,04/03/2023 00:00:00,3, 	(05-JUN-2025 16:55:02)
2,7,84,04/03/2023 00:00:00,5, 	(05-JUN-2025 16:55:02)
2,111,85,04/03/2023 00:00:00,9, 	(05-JUN-2025 16:55:02)
2,69,152,04/03/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,7,84,05/03/2023 00:00:00,6, 	(05-JUN-2025 16:55:02)
2,58,116,05/03/2023 00:00:00,38, 	(05-JUN-2025 16:55:02)
2,58,167,08/03/2023 00:00:00,34, 	(05-JUN-2025 16:55:02)
2,59,116,08/03/2023 00:00:00,39, 	(05-JUN-2025 16:55:02)
2,63,129,10/03/2023 00:00:00,11, 	(05-JUN-2025 16:55:02)
2,58,217,10/03/2023 00:00:00,42, 	(05-JUN-2025 16:55:02)
2,59,121,10/03/2023 00:00:00,55, 	(05-JUN-2025 16:55:02)
2,55,234,11/03/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,101,232,11/03/2023 00:00:00,3, 	(05-JUN-2025 16:55:02)
2,111,85,11/03/2023 00:00:00,10, 	(05-JUN-2025 16:55:02)
2,101,232,11/03/2023 00:00:00,4, 	(05-JUN-2025 16:55:02)
2,87,84,11/03/2023 00:00:00,7, 	(05-JUN-2025 16:55:02)
2,59,167,11/03/2023 00:00:00,35, 	(05-JUN-2025 16:55:02)
2,21,97,13/03/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,7,127,13/03/2023 00:00:00,3, 	(05-JUN-2025 16:55:02)
2,93,92,14/03/2023 00:00:00,5, 	(05-JUN-2025 16:55:02)
2,59,116,14/03/2023 00:00:00,40, 	(05-JUN-2025 16:55:02)
2,94,232,15/03/2023 00:00:00,5, 	(05-JUN-2025 16:55:02)
2,9,165,15/03/2023 00:00:00,3, 	(05-JUN-2025 16:55:02)
2,9,125,15/03/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,59,121,16/03/2023 00:00:00,56, 	(05-JUN-2025 16:55:02)
2,68,183,17/03/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,33,87,17/03/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,80,185,18/03/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,7,127,18/03/2023 00:00:00,4, 	(05-JUN-2025 16:55:02)
2,59,167,18/03/2023 00:00:00,36, 	(05-JUN-2025 16:55:02)
2,58,116,19/03/2023 00:00:00,41, 	(05-JUN-2025 16:55:02)
2,5,53,21/03/2023 00:00:00,4, 	(05-JUN-2025 16:55:02)
2,18,187,22/03/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,68,184,24/03/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,58,215,24/03/2023 00:00:00,19, 	(05-JUN-2025 16:55:02)
2,101,232,25/03/2023 00:00:00,6, 	(05-JUN-2025 16:55:02)
2,59,116,27/03/2023 00:00:00,42, 	(05-JUN-2025 16:55:02)
2,58,121,27/03/2023 00:00:00,57, 	(05-JUN-2025 16:55:02)
2,59,208,30/03/2023 00:00:00,14, 	(05-JUN-2025 16:55:02)
2,112,173,31/03/2023 00:00:00,4, 	(05-JUN-2025 16:55:02)
2,58,116,31/03/2023 00:00:00,43, 	(05-JUN-2025 16:55:02)
2,72,188,03/04/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,72,188,03/04/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,86,221,03/04/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,72,188,03/04/2023 00:00:00,3, 	(05-JUN-2025 16:55:02)
2,98,189,06/04/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,47,178,06/04/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,58,121,07/04/2023 00:00:00,58, 	(05-JUN-2025 16:55:02)
2,59,167,08/04/2023 00:00:00,37, 	(05-JUN-2025 16:55:02)
2,59,167,08/04/2023 00:00:00,38, 	(05-JUN-2025 16:55:02)
2,120,74,12/04/2023 00:00:00,3, 	(05-JUN-2025 16:55:02)
2,58,116,17/04/2023 00:00:00,44, 	(05-JUN-2025 16:55:02)
2,30,158,20/04/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,59,117,20/04/2023 00:00:00,24, 	(05-JUN-2025 16:55:02)
2,14,233,24/04/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,68,146,24/04/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,58,167,24/04/2023 00:00:00,39, 	(05-JUN-2025 16:55:02)
2,66,220,05/05/2023 00:00:00,5, 	(05-JUN-2025 16:55:02)
2,97,184,08/05/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,69,153,08/05/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,118,190,15/05/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,118,190,15/05/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,35,98,19/05/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,112,80,21/05/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,30,58,24/05/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,52,224,09/06/2023 00:00:00,3, 	(05-JUN-2025 16:55:02)
2,10,100,10/06/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,63,101,11/06/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,40,102,12/06/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,40,158,12/06/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,28,75,13/06/2023 00:00:00,4, 	(05-JUN-2025 16:55:02)
2,13,104,14/06/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,86,75,15/06/2023 00:00:00,5, 	(05-JUN-2025 16:55:02)
2,106,105,15/06/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,28,82,15/06/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,59,167,17/06/2023 00:00:00,40, 	(05-JUN-2025 16:55:02)
2,59,167,17/06/2023 00:00:00,41, 	(05-JUN-2025 16:55:02)
2,58,121,17/06/2023 00:00:00,59, 	(05-JUN-2025 16:55:02)
2,86,221,18/06/2023 00:00:00,3, 	(05-JUN-2025 16:55:02)
2,28,75,18/06/2023 00:00:00,6, 	(05-JUN-2025 16:55:02)
2,58,217,18/06/2023 00:00:00,43, 	(05-JUN-2025 16:55:02)
2,59,121,19/06/2023 00:00:00,60, 	(05-JUN-2025 16:55:02)
2,63,129,20/06/2023 00:00:00,12, 	(05-JUN-2025 16:55:02)
2,58,121,23/06/2023 00:00:00,61, 	(05-JUN-2025 16:55:02)
2,59,167,26/06/2023 00:00:00,42, 	(05-JUN-2025 16:55:02)
2,28,236,29/06/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,34,88,29/06/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,71,128,08/07/2023 00:00:00,3, 	(05-JUN-2025 16:55:02)
2,70,222,08/07/2023 00:00:00,4, 	(05-JUN-2025 16:55:02)
2,70,222,08/07/2023 00:00:00,5, 	(05-JUN-2025 16:55:02)
2,113,54,09/07/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,52,191,10/07/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,52,224,10/07/2023 00:00:00,4, 	(05-JUN-2025 16:55:02)
2,26,209,15/07/2023 00:00:00,7, 	(05-JUN-2025 16:55:02)
2,63,101,15/07/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,63,129,22/07/2023 00:00:00,13, 	(05-JUN-2025 16:55:02)
2,37,96,25/07/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,37,95,25/07/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,22,59,26/07/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,71,173,02/08/2023 00:00:00,5, 	(05-JUN-2025 16:55:02)
2,86,60,05/08/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,107,192,07/08/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,86,221,07/08/2023 00:00:00,4, 	(05-JUN-2025 16:55:02)
2,91,60,08/08/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,71,173,08/08/2023 00:00:00,6, 	(05-JUN-2025 16:55:02)
2,71,173,08/08/2023 00:00:00,7, 	(05-JUN-2025 16:55:02)
2,60,194,09/08/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,73,193,09/08/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,42,71,10/08/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,42,71,10/08/2023 00:00:00,3, 	(05-JUN-2025 16:55:02)
2,59,116,12/08/2023 00:00:00,45, 	(05-JUN-2025 16:55:02)
2,64,174,13/08/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,91,57,16/08/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,91,148,16/08/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,91,60,16/08/2023 00:00:00,3, 	(05-JUN-2025 16:55:02)
2,58,116,17/08/2023 00:00:00,46, 	(05-JUN-2025 16:55:02)
2,6,44,18/08/2023 00:00:00,12, 	(05-JUN-2025 16:55:02)
2,80,102,21/08/2023 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,80,195,21/08/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,4,120,22/08/2023 00:00:00,16, 	(05-JUN-2025 16:55:02)
2,42,226,22/08/2023 00:00:00,3, 	(05-JUN-2025 16:55:02)
2,59,217,22/08/2023 00:00:00,44, 	(05-JUN-2025 16:55:02)
2,14,99,24/08/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,80,61,28/08/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,86,75,28/08/2023 00:00:00,7, 	(05-JUN-2025 16:55:02)
2,5,83,28/08/2023 00:00:00,5, 	(05-JUN-2025 16:55:02)
2,5,158,29/08/2023 00:00:00,3, 	(05-JUN-2025 16:55:02)
2,5,168,29/08/2023 00:00:00,4, 	(05-JUN-2025 16:55:02)
2,25,62,31/08/2023 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,113,54,31/08/2023 00:00:00,3, 	(05-JUN-2025 16:55:02)
2,52,210,01/09/2023 00:00:00,4, 	(05-JUN-2025 16:55:02)
