

<<START>>,<<FMS_SECURITY_MST>>,,,, 	(27-APR-2025 10:57:34)
 
COMPANY_CD,CD,SEQ_NO,SEQ_REV_NO,GX,TIMESTAMP
2,1 ,10 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,1 ,11 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,1 ,12 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,1 ,13 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,116 ,2 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,116 ,1 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,256 ,1 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,1 ,8 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,1 ,9 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,20 ,13 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,10 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,17 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,18 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,110 ,2 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,20 ,16 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,13 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,9 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,11 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,20 ,19 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,20 ,20 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,19 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,15 ,17 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,20 ,14 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,14 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,20 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,25 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,110 ,1 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,116 ,3 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,116 ,4 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,116 ,5 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,6 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,12 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,20 ,22 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,21 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,15 ,20 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,110 ,3 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,15 ,16 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,26 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,5 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,22 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,23 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,186 ,2 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,159 ,1 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,51 ,7 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,20 ,36 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,110 ,4 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,28 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,29 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,110 ,6 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,166 ,1 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,1 ,5 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,110 ,5 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,166 ,3 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,110 ,8 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,32 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,64 ,1 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,20 ,27 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,20 ,28 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,20 ,37 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,20 ,39 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,20 ,40 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,1 ,3 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,1 ,4 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,110 ,7 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,110 ,10 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,110 ,11 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,110 ,12 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,166 ,4 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,1 ,1 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,1 ,2 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,36 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,43 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,110 ,18 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,20 ,44 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,1 ,6 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,110 ,16 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,44 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,110 ,13 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,35 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,110 ,14 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,110 ,15 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,20 ,31 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,20 ,32 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,110 ,9 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,20 ,38 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,20 ,41 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,110 ,17 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,110 ,19 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,38 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,null , ,, , 	(27-APR-2025 10:57:34)	 (Not Inserted)
2,154 ,46 ,0, K, 	(27-APR-2025 10:57:34)	 (Not Inserted)

TOTAL DATA IN EXCEL : 116 	(27-APR-2025 10:57:34)
 

TOTAL DATA INSERTED : 0 	(27-APR-2025 10:57:34)
 

TOTAL SKIPPED DATA 116 	(27-APR-2025 10:57:34)
 
<<END>><<FMS_SECURITY_MST>> 	(27-APR-2025 10:57:34)
 

