

<<START>>,<<FMS_BUY_DAILY_SELLER_NOM>>,,,,,, 	(11-APR-2025 16:14:29)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825007, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825007, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825007, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825007, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825007, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825007, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825007, 4,D, 	(11-APR-2025 16:14:30)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825008, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825001, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825002, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825008, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825008, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825011, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825011, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825011, 4,D, 	(11-APR-2025 16:14:30)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825011, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825012, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825012, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825012, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825012, 4,D, 	(11-APR-2025 16:14:30)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825012, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825012, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825012, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825011, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825011, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825011, 4,D, 	(11-APR-2025 16:14:30)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825008, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825008, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825011, 4,D, 	(11-APR-2025 16:14:30)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825011, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825011, 4,D, 	(11-APR-2025 16:14:30)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825011, 4,D, 	(11-APR-2025 16:14:30)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825011, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825011, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825011, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825011, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825011, 4,D, 	(11-APR-2025 16:14:30)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825010, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825012, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825012, 4,D, 	(11-APR-2025 16:14:30)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825012, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825012, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825012, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825012, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825012, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825012, 4,D, 	(11-APR-2025 16:14:30)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825008, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825008, 4,D, 	(11-APR-2025 16:14:30)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825007, 4,D, 	(11-APR-2025 16:14:30)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825010, 4,D, 	(11-APR-2025 16:14:30)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
