

<<START>>,<<FMS_SUPPLY_BILLING_DTL>>,, 	(17-MAY-2025 17:55:16)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONT_TYPE,EFF_DT,TIMESTAMP,
2,217,1,0,21,0,S,26/12/2007 00:00:00,1 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,22,0,S,03/12/2007 00:00:00,1 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,23,0,S,18/12/2007 00:00:00,1 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,24,0,S,10/01/2008 00:00:00,1 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,25,0,S,26/01/2008 00:00:00,1 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,26,0,S,null, 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,26,1,S,01/02/2008 00:00:00,1 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,27,0,S,null, 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,27,1,S,16/03/2008 00:00:00,1 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,28,0,S,01/03/2008 00:00:00,1 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,29,0,S,06/04/2008 00:00:00,1 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,30,0,S,02/04/2008 00:00:00,1 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,31,0,S,26/04/2008 00:00:00,1 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,32,0,S,26/05/2008 00:00:00,1 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,33,0,S,16/06/2008 00:00:00,1 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,34,0,S,21/07/2008 00:00:00,1 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,33,1,S,16/06/2008 00:00:00,1 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,35,0,S,01/09/2008 00:00:00,1 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,36,0,S,11/09/2008 00:00:00,1 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,37,0,S,15/08/2008 00:00:00,1 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,38,0,S,13/08/2008 00:00:00,1 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,39,0,S,28/09/2008 00:00:00,1 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,40,0,S,01/09/2008 00:00:00,1 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,41,0,S,01/04/2009 00:00:00,1 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,41,1,S,01/04/2009 00:00:00,1 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,42,0,S,01/05/2009 00:00:00,1 	(17-MAY-2025 17:55:16)	 (Not Inserted)
2,217,1,0,43,0,S,01/05/2009 00:00:00,1 	(17-MAY-2025 17:55:16)	 (Not Inserted)
