

<<START>>,<<FMS_COUNTERPARTY_MST>>,, 	(28-FEB-2025 11:32:11)
10 , GGCL,11/05/2012 00:00:00, 	(28-FEB-2025 11:32:11)
11 , TPL,04/08/2012 00:00:00, 	(28-FEB-2025 11:32:11)
280 , WMSL,31/05/2011 00:00:00, 	(28-FEB-2025 11:32:11)
12 , MNGL,20/06/2013 00:00:00, 	(28-FEB-2025 11:32:11)
13 , IGL,04/02/2011 00:00:00, 	(28-FEB-2025 11:32:11)
14 , BPCL,24/07/2014 00:00:00, 	(28-FEB-2025 11:32:11)
269 , TEL,06/08/2014 00:00:00, 	(28-FEB-2025 11:32:11)
15 , HPCL,17/11/2010 00:00:00, 	(28-FEB-2025 11:32:11)
16 , JSW,11/10/2022 00:00:00, 	(28-FEB-2025 11:32:11)
16 , JSW,25/11/2014 00:00:00, 	(28-FEB-2025 11:32:11)
17 , BGL,11/10/2022 00:00:00, 	(28-FEB-2025 11:32:11)
17 , BGL,28/07/2016 00:00:00, 	(28-FEB-2025 11:32:11)
18 , GSFC,14/03/2016 00:00:00, 	(28-FEB-2025 11:32:11)
228 , H-Energy,14/11/2016 00:00:00, 	(28-FEB-2025 11:32:11)
160 , SIMPL,11/10/2022 00:00:00, 	(28-FEB-2025 11:32:11)
160 , SIMPL,14/11/2016 00:00:00, 	(28-FEB-2025 11:32:11)
19 , ATGL,11/10/2022 00:00:00, 	(28-FEB-2025 11:32:11)
19 , ATGL,13/01/2017 00:00:00, 	(28-FEB-2025 11:32:11)
20 , AMNS,26/08/2006 00:00:00, 	(28-FEB-2025 11:32:11)
 , SEMTPL,28/07/2017 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
21 , SGIPL,28/11/2017 00:00:00, 	(28-FEB-2025 11:32:11)
22 , VGL,03/07/2019 00:00:00, 	(28-FEB-2025 11:32:11)
23 , PGPGPL,28/04/2021 00:00:00, 	(28-FEB-2025 11:32:11)
23 , PGPGPL,01/04/2021 00:00:00, 	(28-FEB-2025 11:32:11)
 , PGPL,04/10/2019 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
24 , HCG,02/12/2019 00:00:00, 	(28-FEB-2025 11:32:11)
25 , GGL,09/12/2019 00:00:00, 	(28-FEB-2025 11:32:11)
26 , CFC,01/01/2020 00:00:00, 	(28-FEB-2025 11:32:11)
27 , IFFCO,01/01/2020 00:00:00, 	(28-FEB-2025 11:32:11)
28 , HGL-RLNG,01/02/2020 00:00:00, 	(28-FEB-2025 11:32:11)
29 , PipeInfra,11/10/2022 00:00:00, 	(28-FEB-2025 11:32:11)
29 , PipeInfra,01/01/2020 00:00:00, 	(28-FEB-2025 11:32:11)
30 , NFL,01/05/2020 00:00:00, 	(28-FEB-2025 11:32:11)
31 , HSIL,01/05/2020 00:00:00, 	(28-FEB-2025 11:32:11)
 , VVF,01/05/2020 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , VVF,14/07/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
32 , KFL,23/07/2020 00:00:00, 	(28-FEB-2025 11:32:11)
197 , BIL,25/06/2020 00:00:00, 	(28-FEB-2025 11:32:11)
254 , RIPL,19/11/2020 00:00:00, 	(28-FEB-2025 11:32:11)
207 , CP,15/10/2020 00:00:00, 	(28-FEB-2025 11:32:11)
 , HHFG DLNG,26/10/2020 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
187 , VIDUWIL,01/01/2021 00:00:00, 	(28-FEB-2025 11:32:11)
33 , AGP CGD,25/01/2021 00:00:00, 	(28-FEB-2025 11:32:11)
34 , MINDA,29/01/2021 00:00:00, 	(28-FEB-2025 11:32:11)
238 , LEIPL,04/11/2020 00:00:00, 	(28-FEB-2025 11:32:11)
35 , SCHOTT,24/02/2020 00:00:00, 	(28-FEB-2025 11:32:11)
36 , HIL,01/01/2021 00:00:00, 	(28-FEB-2025 11:32:11)
37 , HCGD-B,01/04/2021 00:00:00, 	(28-FEB-2025 11:32:11)
198 , BIPL,21/07/2020 00:00:00, 	(28-FEB-2025 11:32:11)
220 , EXXARO,23/06/2021 00:00:00, 	(28-FEB-2025 11:32:11)
220 , EXXARO,29/05/2021 00:00:00, 	(28-FEB-2025 11:32:11)
257 , STVPL,11/10/2022 00:00:00, 	(28-FEB-2025 11:32:11)
257 , STVPL,18/02/2021 00:00:00, 	(28-FEB-2025 11:32:11)
233 , JGPL,11/10/2022 00:00:00, 	(28-FEB-2025 11:32:11)
233 , JGPL,18/02/2021 00:00:00, 	(28-FEB-2025 11:32:11)
279 , WALLCERA,17/02/2021 00:00:00, 	(28-FEB-2025 11:32:11)
193 , ASTIS,11/10/2022 00:00:00, 	(28-FEB-2025 11:32:11)
193 , ASTIS,17/02/2021 00:00:00, 	(28-FEB-2025 11:32:11)
109 , PROTON,11/10/2022 00:00:00, 	(28-FEB-2025 11:32:11)
109 , PROTON,16/06/2021 00:00:00, 	(28-FEB-2025 11:32:11)
109 , PROTON,16/02/2021 00:00:00, 	(28-FEB-2025 11:32:11)
192 , ANTIQUE,11/10/2022 00:00:00, 	(28-FEB-2025 11:32:11)
192 , ANTIQUE,16/06/2021 00:00:00, 	(28-FEB-2025 11:32:11)
192 , ANTIQUE,16/02/2021 00:00:00, 	(28-FEB-2025 11:32:11)
 , ACER,11/10/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , ACER,16/06/2021 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , ACER,16/02/2021 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
38 , KAJARIA,30/11/2020 00:00:00, 	(28-FEB-2025 11:32:11)
222 , GASGROWS,11/10/2022 00:00:00, 	(28-FEB-2025 11:32:11)
222 , GASGROWS,07/05/2020 00:00:00, 	(28-FEB-2025 11:32:11)
39 , SISECAM,09/06/2021 00:00:00, 	(28-FEB-2025 11:32:11)
40 , ATPL,17/12/2020 00:00:00, 	(28-FEB-2025 11:32:11)
41 , OPAL,28/07/2021 00:00:00, 	(28-FEB-2025 11:32:11)
234 , JKPAPER,02/08/2021 00:00:00, 	(28-FEB-2025 11:32:11)
263 , STL,25/08/2021 00:00:00, 	(28-FEB-2025 11:32:11)
273 , UEPL,11/10/2022 00:00:00, 	(28-FEB-2025 11:32:11)
273 , UEPL,03/09/2021 00:00:00, 	(28-FEB-2025 11:32:11)
206 , CELLO,01/12/2021 00:00:00, 	(28-FEB-2025 11:32:11)
204 , CALDERYS,11/10/2022 00:00:00, 	(28-FEB-2025 11:32:11)
204 , CALDERYS,20/12/2021 00:00:00, 	(28-FEB-2025 11:32:11)
42 , RCF,30/12/2021 00:00:00, 	(28-FEB-2025 11:32:11)
201 , BWRL,25/01/2022 00:00:00, 	(28-FEB-2025 11:32:11)
235 , KRYO,11/10/2022 00:00:00, 	(28-FEB-2025 11:32:11)
235 , KRYO,31/01/2022 00:00:00, 	(28-FEB-2025 11:32:11)
276 , VIRGO,12/02/2022 00:00:00, 	(28-FEB-2025 11:32:11)
196 , BLPL,02/03/2022 00:00:00, 	(28-FEB-2025 11:32:11)
223 , GIPSKARTON,24/03/2022 00:00:00, 	(28-FEB-2025 11:32:11)
270 , TGPL,27/04/2005 00:00:00, 	(28-FEB-2025 11:32:11)
116 , SELNG,29/04/2005 00:00:00, 	(28-FEB-2025 11:32:11)
256 , SITME,20/10/2008 00:00:00, 	(28-FEB-2025 11:32:11)
 , DT,01/04/2005 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
268 , ThirdParty,01/03/2012 00:00:00, 	(28-FEB-2025 11:32:11)
 , Gunvor ,10/02/2021 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , RIL-D6,01/01/2021 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , BP ,01/01/2021 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , AMNS-T,01/01/2019 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , AMNS-T,14/07/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , RIL-CBM,25/03/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
226 , HPPL,01/07/2017 00:00:00, 	(28-FEB-2025 11:32:11)
 , PIL-Haz,23/03/2018 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , PIL-Haz,28/06/2023 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
45 , GSPL,21/04/2006 00:00:00, 	(28-FEB-2025 11:32:11)
 , GAIL-Haz,08/03/2007 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , GAIL-Haz,14/07/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , PLLD,01/01/2020 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , PLLD,27/06/2023 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , D6Gadimoga,01/03/2021 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , D6Gadimoga,14/07/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , PANKGA,01/01/2021 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , PANKGA,27/06/2023 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , PMSKGA,01/01/2021 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , PMSKGA,27/06/2023 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , PBHDGS,01/01/2021 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , PBHDGS,27/06/2023 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , PURCHASE-T,01/10/2021 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , PURCHASE-T,27/06/2023 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , PARK-ANK,01/02/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , PARK-ANK,27/06/2023 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , PHUCBM,31/03/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , PHUCBM,14/07/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , PARK-MSK,19/04/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , PARK-MSK,27/06/2023 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , PARK-BHD,19/04/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , PARK-BHD,27/06/2023 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , PARKPHUCBM,19/04/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , PARKPHUCBM,27/06/2023 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
46 , TGLPL,29/04/2022 00:00:00, 	(28-FEB-2025 11:32:11)
47 , TGBPL,29/04/2022 00:00:00, 	(28-FEB-2025 11:32:11)
48 , BGEPL,29/04/2022 00:00:00, 	(28-FEB-2025 11:32:11)
231 , IMCL,12/05/2022 00:00:00, 	(28-FEB-2025 11:32:11)
 , PMSKP,13/05/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , PMSKP,27/06/2023 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
49 , VVF India,14/05/2022 00:00:00, 	(28-FEB-2025 11:32:11)
50 , GNFC,24/05/2022 00:00:00, 	(28-FEB-2025 11:32:11)
140 , MEGHHQX,02/06/2022 00:00:00, 	(28-FEB-2025 11:32:11)
51 , ONGC,07/06/2022 00:00:00, 	(28-FEB-2025 11:32:11)
52 , GLIL,07/06/2022 00:00:00, 	(28-FEB-2025 11:32:11)
272 , UGEL,09/06/2022 00:00:00, 	(28-FEB-2025 11:32:11)
255 , SGI-AP,27/06/2022 00:00:00, 	(28-FEB-2025 11:32:11)
 , IGX,29/06/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , IGX,30/06/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , IGX,14/07/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , IGX,29/06/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
53 , RGPL,29/06/2022 00:00:00, 	(28-FEB-2025 11:32:11)
224 , GTIPL,01/07/2022 00:00:00, 	(28-FEB-2025 11:32:11)
 , GSPL-C,12/07/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , GSPL-C,12/07/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
117 , PEPL,13/07/2022 00:00:00, 	(28-FEB-2025 11:32:11)
54 , GFCL,14/07/2022 00:00:00, 	(28-FEB-2025 11:32:11)
 , DERL,16/08/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
55 , CPL,16/08/2022 00:00:00, 	(28-FEB-2025 11:32:11)
56 , IRM,07/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
56 , IRM,24/08/2022 00:00:00, 	(28-FEB-2025 11:32:11)
57 , PPL,26/08/2022 00:00:00, 	(28-FEB-2025 11:32:11)
58 , YARALTD,06/09/2022 00:00:00, 	(28-FEB-2025 11:32:11)
59 , INPEROX,13/09/2022 00:00:00, 	(28-FEB-2025 11:32:11)
60 , RAFECHL,28/09/2022 00:00:00, 	(28-FEB-2025 11:32:11)
124 , MGRPL,07/10/2022 00:00:00, 	(28-FEB-2025 11:32:11)
124 , MGRPL,01/10/2022 00:00:00, 	(28-FEB-2025 11:32:11)
208 , CNTENKA,17/10/2022 00:00:00, 	(28-FEB-2025 11:32:11)
61 , EFSPL,25/10/2022 00:00:00, 	(28-FEB-2025 11:32:11)
62 , WELSMEL,16/11/2022 00:00:00, 	(28-FEB-2025 11:32:11)
158 , HINDURV,17/11/2022 00:00:00, 	(28-FEB-2025 11:32:11)
 , DONOTUSE,21/11/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , DONOTUSE,21/11/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , DONOTUSE,17/11/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , DONOTUSE,21/11/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
227 , HCGPUTE,18/11/2022 00:00:00, 	(28-FEB-2025 11:32:11)
63 , GOAGLSF,25/11/2022 00:00:00, 	(28-FEB-2025 11:32:11)
64 , IGSPL,16/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
64 , IGSPL,25/11/2022 00:00:00, 	(28-FEB-2025 11:32:11)
 , ELAWPRC,02/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
65 , PEFORCV,08/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
 , AARVKRO,12/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
189 , ACOVIED,12/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
191 , ANTIQAC,15/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
191 , ANTIQAC,12/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
141 , ASIANPL,12/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
194 , AVLCRMC,12/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
195 , AXWELLG,12/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
199 , BEGLASS,12/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
200 , BHRTFRG,12/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
66 , BHEL,12/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
203 , BICELLO,12/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
143 , CAPAROE,12/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
209 , CLVTPVL,12/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
210 , COMFIND,13/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
67 , DCMSHRI,13/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
138 , DEENOVK,13/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
212 , DHARLTD,13/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
213 , DURAVIT,13/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
214 , DURZGRA,13/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
216 , ERACLTD,13/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
219 , EURILTD,13/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
221 , FIORGPL,13/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
68 , GAMALTD,13/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
69 , GFLLTD,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
70 , GMRLTD,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
71 , GOCOPRL,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
111 , GLDIDLI,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
72 , GJALCHEM,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
73 , GUJASZR,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
74 , GUJAGAS,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
75 , JOHNTBK,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
76 , HARYCIT,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
77 , HCGKCEP,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
78 , HEGLPWN,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
79 , HEROMO,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
80 , HICOTED,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
81 , HOECLTD,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
82 , HINZINC,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
144 , HINAGIL,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
83 , HINSPEC,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
229 , HOLLFIE,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
84 , HNDMTRS,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
147 , HPOIGAS,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
230 , ICONGLTD,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
148 , INDOLPL,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
85 , GASJIND,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
236 , LEXGRAN,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
239 , LOCEPRI,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
240 , LORVTPL,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
241 , LUMGLAP,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
86 , MANIKAR,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
87 , MARUTIS,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
243 , MAXGLTD,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
244 , LLPMILL,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
245 , LTDMILG,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
246 , MILVITL,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
88 , MINDLTD,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
89 , MMPINDL,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
247 , MOINLIM,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
248 , MOSPLTD,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
90 , NAGAFCL,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
91 , NARMADA,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
166 , ESSAREX,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
92 , NEL,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
250 , OWECORN,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
93 , PETNETLNG,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
94 , PRISM,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
252 , QUCELTD,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
253 , RAMALIM,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
 , RANDSIN,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
139 , SASANPO,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
95 , SENTOVI,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
96 , SHOLAGA,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
97 , SHREELI,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
258 , SIVPLTD,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
259 , SIYARAM,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
260 , SIYALIM,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
261 , SOLIMIC,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
262 , SPARVIT,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
98 , SRAVANT,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
142 , SGIPLTD,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
266 , TAURLES,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
267 , TTRPKPR,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
99 , THERLIM,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
100 , THGBGPL,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
145 , THYESTP,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
101 , TORRAUI,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
274 , VARGRAN,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
275 , VENIRAM,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
102 , VITOLAPL,14/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
103 , IOCL,16/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
169 , INGASTD,28/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
104 , TASTELI,30/12/2022 00:00:00, 	(28-FEB-2025 11:32:11)
105 , HMEL,04/01/2023 00:00:00, 	(28-FEB-2025 11:32:11)
211 , DIL,01/01/2023 00:00:00, 	(28-FEB-2025 11:32:11)
162 , BOROREN,05/01/2023 00:00:00, 	(28-FEB-2025 11:32:11)
151 , KINGASP,13/01/2023 00:00:00, 	(28-FEB-2025 11:32:11)
163 , CEUPGAS,13/01/2023 00:00:00, 	(28-FEB-2025 11:32:11)
173 , KNPFCHL,18/01/2023 00:00:00, 	(28-FEB-2025 11:32:11)
106 , RATNAGI,19/01/2023 00:00:00, 	(28-FEB-2025 11:32:11)
180 , RAJRAIR,19/01/2023 00:00:00, 	(28-FEB-2025 11:32:11)
107 , IDOINVA,27/01/2023 00:00:00, 	(28-FEB-2025 11:32:11)
107 , IDOINVA,27/01/2023 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
107 , IDOINVA,13/06/2023 00:00:00, 	(28-FEB-2025 11:32:11)
 , TRILEGL,03/02/2023 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
190 , AGPCGIN,09/02/2023 00:00:00, 	(28-FEB-2025 11:32:11)
176 , NESTLIN,10/02/2023 00:00:00, 	(28-FEB-2025 11:32:11)
110 , SITMEFZ,08/03/2023 00:00:00, 	(28-FEB-2025 11:32:11)
188 , VISHPRI,14/03/2023 00:00:00, 	(28-FEB-2025 11:32:11)
 , NEETMAN,16/03/2023 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
 , SOMANY,16/03/2023 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
202 , BHOGATD,03/04/2023 00:00:00, 	(28-FEB-2025 11:32:11)
186 , VEDALTD,13/04/2023 00:00:00, 	(28-FEB-2025 11:32:11)
277 , VIGASLD,18/04/2023 00:00:00, 	(28-FEB-2025 11:32:11)
167 , GOLDPFG,20/04/2023 00:00:00, 	(28-FEB-2025 11:32:11)
165 , EICLLTD,27/04/2023 00:00:00, 	(28-FEB-2025 11:32:11)
 , CAIRENH ,17/05/2023 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
168 , GSIGLIM,18/05/2023 00:00:00, 	(28-FEB-2025 11:32:11)
168 , GSIGLIM,18/05/2023 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
168 , GSIGLIM,18/05/2023 00:00:00, 	(28-FEB-2025 11:32:11)	 (Not Inserted)
120 , KSHITIJ,26/05/2023 00:00:00, 	(28-FEB-2025 11:32:11)
122 , GAILGAS,01/06/2023 00:00:00, 	(28-FEB-2025 11:32:11)
182 , SUDSOME,12/06/2023 00:00:00, 	(28-FEB-2025 11:32:11)
174 , KUTCHCL,20/06/2023 00:00:00, 	(28-FEB-2025 11:32:11)
251 , PIINDUS ,30/06/2023 00:00:00, 	(28-FEB-2025 11:32:11)
