

<<START>>,<<FMS_COUNTERPARTY_BU_DTL>>,,,,, 	(17-MAY-2025 17:57:01)
 
COMPANY_CD,CD,ABBR,ENTITY,SEQ_NO,EFF_DT,TIMESTAMP
2, 264 , SSAPL , S , 1 , 01/04/2013 00:00:00, 	(17-MAY-2025 17:57:01)
2, 126 , SGSINDIA , S , 1 , 01/04/2007 00:00:00, 	(17-MAY-2025 17:57:01)
2, 232 , JBB , S , 1 , 01/04/2007 00:00:00, 	(17-MAY-2025 17:57:01)
2, 232 , JBB , V , 1 , 01/04/2007 00:00:00, 	(17-MAY-2025 17:57:01)
2, 265 , SLPL , H , 1 , 21/01/2016 00:00:00, 	(17-MAY-2025 17:57:01)
2 , 265 , SLPL , H , 1 , 21/01/2016 00:00:00, 	(17-MAY-2025 17:57:01)	 (Not Inserted)
2 ,  , BOXCO , H , 1 , 11/08/2014 00:00:00, 	(17-MAY-2025 17:57:01)	 (Not Inserted)
2, 282 , JMB , H , 1 , 01/04/2005 00:00:00, 	(17-MAY-2025 17:57:01)

TOTAL DATA IN EXCEL : ,8,,,,, 	(17-MAY-2025 17:57:01)
 

TOTAL DATA INSERTED : ,6,,,,, 	(17-MAY-2025 17:57:01)
 

TOTAL SKIPPED DATA ,2,,,,, 	(17-MAY-2025 17:57:01)
 
<<END>>,<<FMS_COUNTERPARTY_BU_DTL>>,,,,, 	(17-MAY-2025 17:57:01)
 

<<START>>,<<FMS_COUNTERPARTY_BU_TAX>>,,,,, 	(17-MAY-2025 17:57:01)
 
COMPANY_CD,CD,ABBR,ENTITY,PLANT_SEQ_NO,STAT_CD,TIMESTAMP
2 ,126 , SGSINDIA , S , 1 , 1001, 	(17-MAY-2025 17:57:01)
2 ,232 , JBB , S , 1 , 1001, 	(17-MAY-2025 17:57:01)
2 ,264 , SSAPL , S , 1 , 1001, 	(17-MAY-2025 17:57:01)
2 ,232 , JBB , V , 1 , 1001, 	(17-MAY-2025 17:57:01)
2 , , BOXCO , H , 1 , 1001, 	(17-MAY-2025 17:57:01)	 (Not Inserted)
2 ,282 , JMB , H , 1 , 1001, 	(17-MAY-2025 17:57:01)
2 ,265 , SLPL , H , 1 , 1001, 	(17-MAY-2025 17:57:01)
2 ,265 , SLPL , H , 1 , 1001, 	(17-MAY-2025 17:57:01)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,8,,,,, 	(17-MAY-2025 17:57:01)
 

TOTAL DATA INSERTED : ,6,,,,, 	(17-MAY-2025 17:57:01)
 

TOTAL SKIPPED DATA ,2,,,,, 	(17-MAY-2025 17:57:01)
 
<<END>>,<<FMS_COUNTERPARTY_BU_TAX>>,,,,, 	(17-MAY-2025 17:57:01)
 
