

<<START>>,<<FMS_TRADER_CONT_SPLIT_PLANT>>,,,,,, 	(17-JUN-2025 12:06:01)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,1, 0, 0,823016, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823017, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823018, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823019, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823020, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823021, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823022, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823023, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823024, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823025, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823026, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823027, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823028, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823029, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823030, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823031, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823032, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823033, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823034, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823035, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823036, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823037, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823038, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823039, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823040, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823041, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823042, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823043, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823044, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823045, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823046, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823047, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823048, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823049, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823050, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823051, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823052, 4,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823016, 3,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823017, 3,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823018, 3,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823019, 3,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823020, 3,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823021, 3,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823022, 3,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823023, 3,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823024, 3,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823025, 3,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823026, 3,D, 	(17-JUN-2025 12:06:01)
2,1, 0, 0,823027, 3,D, 	(17-JUN-2025 12:06:01)
