

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,,, 	(26-FEB-2025 12:05:00)
 
COMPANY_CD,CD,ABBR,SEQ,ENTITY,TIMESTAMP
2 ,284 , KSFL , 1,C, 	(26-FEB-2025 12:05:00)
2 ,291 , DT , 1,T, 	(26-FEB-2025 12:05:00)
2 ,324 , JMB , 1,H, 	(26-FEB-2025 12:05:00)
2 ,325 , BOXCO , 1,H, 	(26-FEB-2025 12:05:00)
2 ,232 , JBB , 1,V, 	(26-FEB-2025 12:05:00)
2 ,126 , SGSINDIA , 1,S, 	(26-FEB-2025 12:05:00)
2 , 232 , JBB , 1,S, 	(26-FEB-2025 12:05:00)	 (Not Inserted)
2 ,264 , SSAPL , 1,S, 	(26-FEB-2025 12:05:00)

TOTAL DATA IN EXCEL : ,8,,,, 	(26-FEB-2025 12:05:00)
 

TOTAL DATA INSERTED : ,7,,,, 	(26-FEB-2025 12:05:00)
 

TOTAL SKIPPED DATA ,1,,,, 	(26-FEB-2025 12:05:00)
 
<<END>>,<<FMS_ENTITY_REQ_DTL>>,,,, 	(26-FEB-2025 12:05:00)
 
