

<<START>>,<<FMS_INVOICE_MST_TAXCD_UPDATE>>,, 	(23-JAN-2026 10:49:08)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_STATE_TIN,BU_CONTACT_PERSON_CD,PLANT_SEQ_NO,CONTACT_PERSON_CD,TIMESTAMP,
2,1 , 1,0,19001,0,O,1,24,5,13,21,0, 	(23-JAN-2026 10:49:09)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,14,21,67, 	(23-JAN-2026 10:49:09)
2,1 , 1,0,19001,0,O,1,24,5,1,24,0, 	(23-JAN-2026 10:49:09)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,1,24,0, 	(23-JAN-2026 10:49:09)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,2,46,67, 	(23-JAN-2026 10:49:09)
2,1 , 1,0,19001,0,O,1,24,5,2,46,67, 	(23-JAN-2026 10:49:09)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:09)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:09)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:09)
2,1 , 1,0,19001,0,O,1,24,5,4,41,67, 	(23-JAN-2026 10:49:09)
2,1 , 1,0,19001,0,O,1,24,5,4,41,67, 	(23-JAN-2026 10:49:09)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:09)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:09)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:09)
2,1 , 1,0,19001,0,O,1,24,5,8,23,0, 	(23-JAN-2026 10:49:09)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,8,23,0, 	(23-JAN-2026 10:49:09)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,9,39,67, 	(23-JAN-2026 10:49:09)
2,1 , 1,0,19001,0,O,1,24,5,9,39,67, 	(23-JAN-2026 10:49:09)
2,1 , 1,0,19001,0,O,1,24,5,13,21,0, 	(23-JAN-2026 10:49:09)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,14,21,67, 	(23-JAN-2026 10:49:09)
2,1 , 1,0,19001,0,O,1,24,5,1,24,0, 	(23-JAN-2026 10:49:09)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,2,46,67, 	(23-JAN-2026 10:49:09)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:09)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:09)
2,1 , 1,0,19001,0,O,1,24,5,4,41,67, 	(23-JAN-2026 10:49:09)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:09)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:09)
2,1 , 1,0,19001,0,O,1,24,5,8,23,0, 	(23-JAN-2026 10:49:10)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,9,39,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,13,21,0, 	(23-JAN-2026 10:49:10)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,14,21,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,1,24,0, 	(23-JAN-2026 10:49:10)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,1,24,0, 	(23-JAN-2026 10:49:10)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,2,46,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,2,46,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,4,41,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,4,41,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,8,23,0, 	(23-JAN-2026 10:49:10)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,8,23,0, 	(23-JAN-2026 10:49:10)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,9,39,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,9,39,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,13,21,0, 	(23-JAN-2026 10:49:10)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,14,21,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,1,24,0, 	(23-JAN-2026 10:49:10)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,2,46,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,4,41,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,8,23,0, 	(23-JAN-2026 10:49:10)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,9,39,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,13,21,0, 	(23-JAN-2026 10:49:10)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,14,21,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,1,24,0, 	(23-JAN-2026 10:49:10)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,1,24,0, 	(23-JAN-2026 10:49:10)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,4,41,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,4,41,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,8,23,0, 	(23-JAN-2026 10:49:10)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,8,23,0, 	(23-JAN-2026 10:49:10)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,13,21,0, 	(23-JAN-2026 10:49:10)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,14,21,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,1,24,0, 	(23-JAN-2026 10:49:10)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,2,46,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,4,41,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,5,16,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,8,23,0, 	(23-JAN-2026 10:49:10)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,13,21,0, 	(23-JAN-2026 10:49:10)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,14,21,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,1,24,0, 	(23-JAN-2026 10:49:10)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,1,24,0, 	(23-JAN-2026 10:49:10)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,2,46,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,2,46,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:10)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,4,41,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,4,41,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,8,23,0, 	(23-JAN-2026 10:49:11)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,8,23,0, 	(23-JAN-2026 10:49:11)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,9,39,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,9,39,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,13,21,0, 	(23-JAN-2026 10:49:11)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,14,21,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,1,24,0, 	(23-JAN-2026 10:49:11)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,2,46,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,4,41,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,8,23,0, 	(23-JAN-2026 10:49:11)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,9,39,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,13,21,0, 	(23-JAN-2026 10:49:11)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,14,21,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,1,24,0, 	(23-JAN-2026 10:49:11)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,1,24,0, 	(23-JAN-2026 10:49:11)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,2,46,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,2,46,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,4,41,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,4,41,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,8,23,0, 	(23-JAN-2026 10:49:11)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,8,23,0, 	(23-JAN-2026 10:49:11)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,9,39,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,9,39,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,13,21,0, 	(23-JAN-2026 10:49:11)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,14,21,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,1,24,0, 	(23-JAN-2026 10:49:11)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,2,46,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,4,41,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,8,23,0, 	(23-JAN-2026 10:49:11)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,9,39,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,13,21,0, 	(23-JAN-2026 10:49:11)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,14,21,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,1,24,0, 	(23-JAN-2026 10:49:11)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,1,24,0, 	(23-JAN-2026 10:49:11)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,2,46,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,2,46,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,4,41,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,4,41,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:11)
2,1 , 1,0,19001,0,O,1,24,5,8,23,0, 	(23-JAN-2026 10:49:11)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,8,23,0, 	(23-JAN-2026 10:49:11)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,9,39,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,9,39,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,13,21,0, 	(23-JAN-2026 10:49:12)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,14,21,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,1,24,0, 	(23-JAN-2026 10:49:12)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,2,46,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,4,41,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,8,23,0, 	(23-JAN-2026 10:49:12)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,9,39,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,13,21,0, 	(23-JAN-2026 10:49:12)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,14,21,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,1,24,0, 	(23-JAN-2026 10:49:12)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,1,24,0, 	(23-JAN-2026 10:49:12)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,2,46,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,2,46,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,4,41,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,4,41,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,8,23,0, 	(23-JAN-2026 10:49:12)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,8,23,0, 	(23-JAN-2026 10:49:12)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,9,39,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,9,39,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,13,21,0, 	(23-JAN-2026 10:49:12)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,14,21,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,1,24,0, 	(23-JAN-2026 10:49:12)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,2,46,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,4,41,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,8,23,0, 	(23-JAN-2026 10:49:12)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,9,39,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,13,21,0, 	(23-JAN-2026 10:49:12)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,14,21,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,1,24,0, 	(23-JAN-2026 10:49:12)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,1,24,0, 	(23-JAN-2026 10:49:12)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,2,46,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,2,46,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,4,41,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,4,41,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,8,23,0, 	(23-JAN-2026 10:49:12)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,8,23,0, 	(23-JAN-2026 10:49:12)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,9,39,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,9,39,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,13,21,0, 	(23-JAN-2026 10:49:12)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,14,21,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,1,24,0, 	(23-JAN-2026 10:49:12)	 (Not Inserted)
2,1 , 1,0,19001,0,O,1,24,5,2,46,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,3,15,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,4,41,67, 	(23-JAN-2026 10:49:12)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:13)
2,1 , 1,0,19001,0,O,1,24,5,7,15,67, 	(23-JAN-2026 10:49:13)
2,1 , 1,0,19001,0,O,1,24,5,8,23,0, 	(23-JAN-2026 10:49:13)	 (Not Inserted)
