

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(17-FEB-2025 15:13:34)
2 ,  , PIL-Haz , C , R , 25/04/2019 00:00:00, 	(17-FEB-2025 15:13:35)	 (Not Inserted)
2 , 45 , GSPL , R , C , 21/04/2006 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 45 , GSPL , R , R , 21/04/2006 00:00:00, 	(17-FEB-2025 15:13:35)
2 ,  , PARK-MSK , R , R , 19/04/2022 00:00:00, 	(17-FEB-2025 15:13:35)	 (Not Inserted)
2 ,  , PARK-BHD , R , R , 19/04/2022 00:00:00, 	(17-FEB-2025 15:13:35)	 (Not Inserted)
2 ,  , PARKPHUCBM , R , R , 19/04/2022 00:00:00, 	(17-FEB-2025 15:13:35)	 (Not Inserted)
2 , 46 , TGLPL , B , C , 29/04/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 46 , TGLPL , C , C , 29/04/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 46 , TGLPL , R , C , 29/04/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 47 , TGBPL , B , C , 29/04/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 47 , TGBPL , C , C , 29/04/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 47 , TGBPL , R , C , 29/04/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 48 , BGEPL , B , C , 29/04/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 48 , BGEPL , C , C , 29/04/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 48 , BGEPL , R , C , 29/04/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 231 , IMCL , B , C , 12/05/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 231 , IMCL , C , C , 12/05/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 231 , IMCL , R , C , 12/05/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 ,  , PMSKP , R , R , 13/05/2022 00:00:00, 	(17-FEB-2025 15:13:35)	 (Not Inserted)
2 , 49 , VVF India , B , C , 14/05/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 49 , VVF India , C , C , 14/05/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 49 , VVF India , R , C , 14/05/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 49 , VVF India , R , C , 16/12/2022 00:00:00, 	(17-FEB-2025 15:13:35)	 (Not Inserted)
2 , 50 , GNFC , B , C , 24/05/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 50 , GNFC , C , C , 24/05/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 50 , GNFC , R , C , 24/05/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 ,  , MEIL , B , C , 02/06/2022 00:00:00, 	(17-FEB-2025 15:13:35)	 (Not Inserted)
2 ,  , MEIL , C , C , 02/06/2022 00:00:00, 	(17-FEB-2025 15:13:35)	 (Not Inserted)
2 ,  , MEIL , R , C , 02/06/2022 00:00:00, 	(17-FEB-2025 15:13:35)	 (Not Inserted)
2 , 51 , ONGC , B , T , 07/06/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 51 , ONGC , C , T , 07/06/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 51 , ONGC , R , T , 07/06/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 52 , GLIL , B , C , 07/06/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 52 , GLIL , C , C , 07/06/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 52 , GLIL , R , C , 07/06/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 272 , UGEL , R , C , 09/06/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 255 , SGI-AP , B , C , 27/06/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 255 , SGI-AP , C , C , 27/06/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 255 , SGI-AP , R , C , 27/06/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 ,  , IGX , R , C , 29/06/2022 00:00:00, 	(17-FEB-2025 15:13:35)	 (Not Inserted)
2 , 53 , RGPL , R , C , 29/06/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 53 , RGPL , R , R , 29/06/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 224 , GTIPL , R , C , 01/07/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 ,  , GSPL-C , R , C , 12/07/2022 00:00:00, 	(17-FEB-2025 15:13:35)	 (Not Inserted)
2 , 117 , PEPL , B , C , 28/02/2024 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 117 , PEPL , C , C , 28/02/2024 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 117 , PEPL , R , C , 13/07/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 54 , GFCL , B , C , 14/07/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 54 , GFCL , C , C , 14/07/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 54 , GFCL , R , C , 14/07/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 ,  , DERL , R , T , 16/08/2022 00:00:00, 	(17-FEB-2025 15:13:35)	 (Not Inserted)
2 , 55 , CPL , B , C , 16/08/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 55 , CPL , C , C , 16/08/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 55 , CPL , R , C , 16/08/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 56 , IRM , B , C , 24/08/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 56 , IRM , C , C , 24/08/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 56 , IRM , R , C , 24/08/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 57 , PPL , B , C , 30/08/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 57 , PPL , C , C , 30/08/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 57 , PPL , R , C , 26/08/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 58 , YARALTD , B , C , 06/09/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 58 , YARALTD , C , C , 06/09/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 58 , YARALTD , R , C , 06/09/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 59 , INPEROX , B , C , 13/09/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 59 , INPEROX , C , C , 13/09/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 59 , INPEROX , R , C , 13/09/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 60 , RAFECHL , R , C , 28/09/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 124 , MGRPL , R , C , 01/10/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 124 , MGRPL , R , T , 01/10/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 208 , CNTENKA , B , C , 17/10/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 208 , CNTENKA , C , C , 17/10/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 208 , CNTENKA , R , C , 17/10/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 61 , EFSPL , R , C , 25/10/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 61 , EFSPL , R , T , 25/10/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 158 , HINDURV , B , C , 28/02/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 158 , HINDURV , C , C , 28/02/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 158 , HINDURV , R , C , 17/11/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 227 , HCGPUTE , B , C , 21/11/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 227 , HCGPUTE , C , C , 21/11/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 227 , HCGPUTE , R , C , 18/11/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 63 , GOAGLSF , B , C , 25/11/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 63 , GOAGLSF , C , C , 25/11/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 63 , GOAGLSF , R , C , 25/11/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 64 , IGSPL , R , C , 25/11/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 64 , IGSPL , R , T , 25/11/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 65 , PEFORCV , B , C , 08/12/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 65 , PEFORCV , C , C , 08/12/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 65 , PEFORCV , R , C , 08/12/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 66 , BHEL , R , C , 12/12/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 210 , COMFIND , R , C , 13/12/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 67 , DCMSHRI , B , C , 13/12/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 67 , DCMSHRI , C , C , 13/12/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 67 , DCMSHRI , R , C , 13/12/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 81 , HOECLTD , R , C , 14/12/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 81 , HOECLTD , R , T , 14/12/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 144 , HINAGIL , R , C , 14/12/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 147 , HPOIGAS , B , C , 20/12/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 147 , HPOIGAS , C , C , 20/12/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 147 , HPOIGAS , R , C , 14/12/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 86 , MANIKAR , R , C , 14/12/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 166 , ESSAREX , R , T , 14/12/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 92 , NEL , C , C , 01/03/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 92 , NEL , R , C , 14/12/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 104 , TASTELI , B , C , 01/02/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 104 , TASTELI , C , C , 01/02/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 104 , TASTELI , R , C , 30/12/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 105 , HMEL , B , C , 04/01/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 105 , HMEL , C , C , 04/01/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 105 , HMEL , R , C , 04/01/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 211 , DIL , R , T , 01/01/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 162 , BOROREN , B , C , 01/12/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 162 , BOROREN , C , C , 01/12/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 162 , BOROREN , R , C , 05/01/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 151 , KINGASP , B , C , 01/07/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 151 , KINGASP , C , C , 01/07/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 151 , KINGASP , R , C , 13/01/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 106 , RATNAGI , B , C , 14/06/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 106 , RATNAGI , R , C , 19/01/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 107 , IDOINVA , B , C , 30/04/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 107 , IDOINVA , C , C , 30/04/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 107 , IDOINVA , R , C , 27/01/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 107 , IDOINVA , B , C , 30/04/2023 00:00:00, 	(17-FEB-2025 15:13:35)	 (Not Inserted)
2 , 107 , IDOINVA , C , C , 30/04/2023 00:00:00, 	(17-FEB-2025 15:13:35)	 (Not Inserted)
2 , 107 , IDOINVA , R , C , 27/01/2023 00:00:00, 	(17-FEB-2025 15:13:35)	 (Not Inserted)
2 , 190 , AGPCGIN , B , C , 09/02/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 190 , AGPCGIN , C , C , 09/02/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 190 , AGPCGIN , R , C , 09/02/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 176 , NESTLIN , C , C , 10/02/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 176 , NESTLIN , R , C , 10/02/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 110 , SITMEFZ , R , T , 08/03/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 188 , VISHPRI , R , C , 14/03/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 ,  , SOMANY , R , C , 16/03/2023 00:00:00, 	(17-FEB-2025 15:13:35)	 (Not Inserted)
2 , 202 , BHOGATD , R , C , 03/04/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 186 , VEDALTD , R , C , 13/04/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 186 , VEDALTD , R , T , 13/04/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 277 , VIGASLD , R , C , 18/04/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 167 , GOLDPFG , R , C , 20/04/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 ,  , CAIRENH  , R , T , 17/05/2023 00:00:00, 	(17-FEB-2025 15:13:35)	 (Not Inserted)
2 , 168 , GSIGLIM , R , R , 18/05/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 122 , GAILGAS , R , C , 01/06/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 174 , KUTCHCL , R , C , 20/06/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 282 , SEMTEXP , R , C , 01/04/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 282 , SEMTEXP , R , T , 01/04/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 181 , SANENER , R , C , 21/09/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 181 , SANENER , R , T , 21/09/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 183 , SUMGLAS , B , C , 01/10/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 183 , SUMGLAS , C , C , 01/10/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 183 , SUMGLAS , R , C , 27/09/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 184 , SVTPLIN , B , C , 01/10/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 184 , SVTPLIN , C , C , 01/10/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 184 , SVTPLIN , R , C , 28/09/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 112 , SPSSETL1 , R , T , 02/10/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 113 , SIETCO , R , T , 11/10/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 ,  , AGL , B , C , 20/12/2023 00:00:00, 	(17-FEB-2025 15:13:35)	 (Not Inserted)
2 ,  , AGL , R , C , 20/12/2023 00:00:00, 	(17-FEB-2025 15:13:35)	 (Not Inserted)
2 , 121 , NGPL , R , C , 19/01/2024 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 115 , SILS , R , T , 21/02/2024 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 114 , STASCO , R , C , 14/02/2024 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 114 , STASCO , R , T , 14/02/2024 00:00:00, 	(17-FEB-2025 15:13:35)
2 ,  , ROCKMAN , R , C , 23/02/2024 00:00:00, 	(17-FEB-2025 15:13:35)	 (Not Inserted)
2 ,  , LANCO , R , C , 05/04/2024 00:00:00, 	(17-FEB-2025 15:13:35)	 (Not Inserted)
2 , 130 , CRMNDEL , B , C , 27/06/2024 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 130 , CRMNDEL , C , C , 27/06/2024 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 130 , CRMNDEL , R , C , 01/07/2024 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 281 , SEIPLDY , R , C , 01/10/2024 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 134 , GSINLIM , R , R , 13/01/2025 00:00:00, 	(17-FEB-2025 15:13:35)

TOTAL DATA IN EXCEL : ,432,,,,, 	(17-FEB-2025 15:13:35)
 

TOTAL DATA INSERTED : ,353,,,,, 	(17-FEB-2025 15:13:35)
 

TOTAL SKIPPED DATA ,79,,,,, 	(17-FEB-2025 15:13:35)
 
<<END>>,<<FMS_ENTITY_ADDR_MST>>,,,,, 	(17-FEB-2025 15:13:35)
 

<<START>>,<<FMS_COMPANY_OWNER_MST>>,,, 	(17-FEB-2025 15:13:35)
 
COMPANY_CD,CD,ABBR,EFF_DT,TIMESTAMP
2 , 2,SEIPL , 01/01/2003 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 2,SEIPL , 11/10/2022 00:00:00, 	(17-FEB-2025 15:13:35)

TOTAL DATA IN EXCEL : ,2,,, 	(17-FEB-2025 15:13:35)
 

TOTAL DATA INSERTED :, 2,,, 	(17-FEB-2025 15:13:35)
 

TOTAL SKIPPED DATA ,0,,, 	(17-FEB-2025 15:13:35)
 
<<END>>,<<FMS_COMPANY_OWNER_MST>>,,, 	(17-FEB-2025 15:13:35)
 

<<START>>,<<FMS_COMPANY_OWNER_ADDR_MST>>,,, 	(17-FEB-2025 15:13:35)
 
COMPANY_CD,ABBR,ADDR_TYPE,EFF_DT,TIMESTAMP,
2  ,SEIPL , B , 26/11/2020 00:00:00, 	(17-FEB-2025 15:13:35)
2  ,SEIPL , C , 26/11/2020 00:00:00, 	(17-FEB-2025 15:13:35)
2  ,SEIPL , R , 26/11/2020 00:00:00, 	(17-FEB-2025 15:13:35)

TOTAL DATA IN EXCEL : ,3,,, 	(17-FEB-2025 15:13:35)
 

TOTAL DATA INSERTED : ,3,,, 	(17-FEB-2025 15:13:35)
 

TOTAL SKIPPED DATA ,0,,, 	(17-FEB-2025 15:13:35)
 
<<END>>,<<FMS_COMPANY_OWNER_ADDR_MST>>,,, 	(17-FEB-2025 15:13:35)
 

<<START>>,<<FMS_COUNTERPARTY_PLANT_DTL>>,,,,, 	(17-FEB-2025 15:13:35)
 
COMPANY_CD,CD,ABBR,ENTITY,SEQ_NO,EFF_DT,TIMESTAMP,
2 , 1 , RIL , C , 1 , 14/09/2008 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 1 , 16/02/2017 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 1 , 01/10/2024 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 2 , 14/09/2008 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 2 , 16/02/2017 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 3 , 14/09/2008 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 3 , 16/02/2017 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 3 , 16/06/2017 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 4 , 14/09/2008 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 4 , 16/02/2017 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 5 , 14/09/2008 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 5 , 16/02/2017 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 6 , 14/09/2008 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 6 , 24/04/2009 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 7 , 24/04/2009 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 7 , 01/04/2011 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 7 , 16/02/2017 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 7 , 16/06/2017 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 7 , 10/01/2018 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 7 , 21/01/2018 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 7 , 31/01/2018 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 7 , 29/05/2018 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 8 , 01/01/2013 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 8 , 16/02/2017 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 9 , 01/09/2013 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 9 , 16/02/2017 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 10 , 26/09/2013 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 11 , 01/01/2017 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 11 , 01/03/2017 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 12 , 01/01/2017 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 12 , 01/03/2017 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 13 , 01/07/2017 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 14 , 01/07/2017 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 14 , 31/01/2018 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 14 , 29/05/2018 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 15 , 01/01/2020 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 15 , 01/02/2020 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 16 , 16/02/2017 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 17 , 16/02/2017 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 1 , RIL , C , 18 , 01/10/2024 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 2 , MGL , C , 1 , 16/07/2009 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 3 , GSPCL , C , 1 , 24/03/2005 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 3 , GSPCL , C , 1 , 21/04/2006 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 3 , GSPCL , C , 1 , 16/05/2024 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 3 , GSPCL , C , 2 , 21/04/2006 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 3 , GSPCL , C , 3 , 16/05/2024 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 4 , Gail , C , 1 , 08/03/2007 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 4 , Gail , C , 2 , 01/07/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 4 , Gail , C , 2 , 28/05/2024 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 4 , Gail , C , 3 , 01/07/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 4 , Gail , C , 4 , 01/06/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 4 , Gail , C , 5 , 01/06/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 4 , Gail , C , 5 , 01/05/2024 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 4 , Gail , C , 6 , 01/05/2024 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 4 , Gail , C , 7 , 01/05/2024 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 4 , Gail , C , 8 , 28/05/2024 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 4 , Gail , R , 1 , 01/12/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 4 , Gail , R , 2 , 01/12/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 4 , Gail , R , 3 , 01/12/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 4 , Gail , R , 4 , 01/12/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 4 , Gail , R , 5 , 01/12/2022 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 4 , Gail , R , 6 , 01/08/2023 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 4 , Gail , R , 7 , 01/03/2024 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 4 , Gail , R , 8 , 01/11/2024 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 4 , Gail , R , 9 , 01/01/2025 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 217 , ESL , C , 1 , 01/04/2006 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 217 , ESL , C , 1 , 26/08/2006 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 5 , NTPC , C , 2 , 01/06/2006 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 5 , NTPC , C , 2 , 18/11/2006 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 5 , NTPC , C , 3 , 01/06/2006 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 5 , NTPC , C , 3 , 27/01/2007 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 5 , NTPC , C , 4 , 27/01/2007 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 5 , NTPC , C , 5 , 27/01/2007 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 5 , NTPC , C , 6 , 27/01/2007 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 6 , KRIBHCO , C , 1 , 05/12/2007 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 7 , DFPCL , C , 1 , 03/12/2007 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 8 , AIGL , C , 1 , 22/07/2009 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 218 , ESEZ , C , 1 , 04/04/2008 00:00:00, 	(17-FEB-2025 15:13:35)
2 ,  , KSFL , C , 1 , 20/12/2007 00:00:00, 	(17-FEB-2025 15:13:35)	 (Not Inserted)
2 , 242 , MAHAGENCO , C , 1 , 16/04/2008 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 249 , NPL , C , 1 , 28/02/2008 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 9 , SIGIL , C , 1 , 01/04/2009 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 9 , SIGIL , C , 1 , 01/04/2009 00:00:00, 	(17-FEB-2025 15:13:35)	 (Not Inserted)
2 , 225 , VIL , C , 1 , 12/12/2007 00:00:00, 	(17-FEB-2025 15:13:35)
2 , 11 , TPL , C , 1 , 04/08/2012 00:00:00, 	(17-FEB-2025 15:13:35)
