
<<START>>,<<FMS_PUR_SG_INV_MST>>,,, 	(25-JUL-2025 11:31:49)
 
CARGO_REF_NO, INVOICE_NO, INVOICE_DT, REMARK,FINANCIAL_YEAR,CONTRACT_TYPE,TIMESTAMP
5002,T0008086,14/06/2005 00:00:00,Actual Data,2005-2006,N, 	(25-JUL-2025 11:31:50)
5002,T0008086,14/06/2005 00:00:00,Actual Data,2005-2006,N, 	(25-JUL-2025 11:31:50)
5002,T0008259,15/07/2005 00:00:00,null,2005-2006,N, 	(25-JUL-2025 11:31:50)
5002,T0008086,15/06/2005 00:00:00,null,2005-2006,N, 	(25-JUL-2025 11:31:50)
5002,T0008259,29/07/2005 00:00:00,null,2005-2006,N, 	(25-JUL-2025 11:31:50)
7004,T0011662,27/02/2007 00:00:00,null,2006-2007,N, 	(25-JUL-2025 11:31:50)
7004,T0011662,27/02/2007 00:00:00,null,2006-2007,N, 	(25-JUL-2025 11:31:50)
7004,T0011835,13/03/2007 00:00:00,null,2006-2007,N, 	(25-JUL-2025 11:31:50)
7004,T0011662,02/03/2007 00:00:00,null,2006-2007,N, 	(25-JUL-2025 11:31:50)
7004,T0011835,09/03/2007 00:00:00,null,2006-2007,N, 	(25-JUL-2025 11:31:50)
6012,T0011231,19/12/2006 00:00:00,null,2006-2007,N, 	(25-JUL-2025 11:31:50)
6012,T0011231,19/12/2006 00:00:00,null,2006-2007,N, 	(25-JUL-2025 11:31:50)
6012,T0011246,03/01/2007 00:00:00,null,2006-2007,N, 	(25-JUL-2025 11:31:50)
6012,T0011231,22/12/2006 00:00:00,null,2006-2007,N, 	(25-JUL-2025 11:31:50)
7007,T0012016,17/04/2007 00:00:00,null,2006-2007,N, 	(25-JUL-2025 11:31:50)
7007,T0012016,17/04/2007 00:00:00,null,2006-2007,N, 	(25-JUL-2025 11:31:50)
7007,T0012024,24/04/2007 00:00:00,null,2006-2007,N, 	(25-JUL-2025 11:31:50)
7007,T0012016,23/04/2007 00:00:00,null,2006-2007,N, 	(25-JUL-2025 11:31:50)
6003,T0010045,19/05/2006 00:00:00,null,2006-2007,N, 	(25-JUL-2025 11:31:50)
6003,T0010045,19/05/2006 00:00:00,null,2006-2007,N, 	(25-JUL-2025 11:31:50)
6003,T0010567,31/08/2006 00:00:00,null,2006-2007,N, 	(25-JUL-2025 11:31:50)
6003,T0010045,18/05/2006 00:00:00,null,2006-2007,N, 	(25-JUL-2025 11:31:50)
7012,T0012231,30/05/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
7012,T0012231,30/05/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
7012,T0012401,11/06/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
7012,T0012231,04/06/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
7012,T0012401,08/06/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
7023,T0013340,05/11/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
7023,T0013340,05/11/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
7023,T0013474,16/11/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
7023,T0013340,14/11/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
7023,T0013474,19/11/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
7019,T0012997,10/09/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
7019,T0012997,10/09/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
7019,T0013037,26/09/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
7019,T0012997,21/09/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
8007,T0014385,14/03/2008 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
8007,T0014385,14/03/2008 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
8007,T0014399,27/03/2008 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
8007,T0014385,19/03/2008 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
8007,T0014399,29/03/2008 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
7022,T0013259,19/10/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
7022,T0013259,19/10/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
7022,T0013261,26/10/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
7022,T0013259,23/10/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
7024,T0013471,15/11/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
7024,T0013471,15/11/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
7024,T0013490,29/11/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
7024,T0013471,22/11/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
7020,T0013012,18/09/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
7020,T0013012,18/09/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
7020,T0013095,02/10/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
7020,T0013012,27/09/2007 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
8001,T0013961,29/01/2008 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
8001,T0013961,29/01/2008 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
8001,T0014067,05/02/2008 00:00:00,null,2007-2008,N, 	(25-JUL-2025 11:31:50)
9004,T0017320,20/03/2009 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
9004,T0017320,20/03/2009 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
9004,T0017326,01/04/2009 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
9004,T0017320,30/03/2009 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
9004,T0017326,02/04/2009 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
9005,T0017398,06/04/2009 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
9005,T0017398,06/04/2009 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
9005,T0017538,14/04/2009 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
9005,T0017398,09/04/2009 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8028,T0015816,06/10/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8028,T0015816,06/10/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8028,T0016017,15/10/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8028,T0015816,11/10/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8028,T0016017,18/10/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8021,T0015530,06/08/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8021,T0015530,06/08/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8021,T0015556,15/08/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8021,T0015530,12/08/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8021,T0015556,21/08/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8013,T0014843,09/05/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8013,T0014843,09/05/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8013,T0014859,16/05/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8013,T0014843,13/05/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8013,T0014859,19/05/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8017,T0015056,06/06/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8017,T0015056,06/06/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8017,T0015098,18/06/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8017,T0015056,12/06/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8017,T0015098,21/06/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8025,T0015754,08/09/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8025,T0015754,08/09/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8025,T0015791,23/09/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8025,T0015754,16/09/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8014,T0014857,16/05/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8014,T0014857,16/05/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8014,T0014872,21/05/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8014,T0014857,16/05/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8014,T0014872,21/05/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8015,T0014864,16/05/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8015,T0014864,16/05/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8015,T0014878,27/05/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8015,T0014864,21/05/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8015,T0014878,27/05/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8026,T0015779,16/09/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8026,T0015779,16/09/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8026,T0015793,26/09/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8026,T0015779,22/09/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8026,T0015793,29/09/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
9003,T0017321,23/03/2009 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
9003,T0017321,23/03/2009 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
9003,T0017324,31/03/2009 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
9003,T0017321,26/03/2009 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
9003,T0017324,02/04/2009 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8019,T0015346,22/07/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8019,T0015346,22/07/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8019,T0015349,31/07/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8019,T0015346,25/07/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
8019,T0015349,01/08/2008 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
9007,T0017561,24/04/2009 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
9007,T0017561,24/04/2009 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
9007,T0017565,05/05/2009 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
9007,T0017561,28/04/2009 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
9007,T0017565,07/05/2009 00:00:00,null,2008-2009,N, 	(25-JUL-2025 11:31:50)
9014,T0018277,15/07/2009 00:00:00,null,2009-2010,N, 	(25-JUL-2025 11:31:50)
9014,T0018277,15/07/2009 00:00:00,null,2009-2010,N, 	(25-JUL-2025 11:31:50)
9014,T0018285,22/07/2009 00:00:00,null,2009-2010,N, 	(25-JUL-2025 11:31:50)
9014,T0018277,16/07/2009 00:00:00,null,2009-2010,N, 	(25-JUL-2025 11:31:50)
9016,T0018498,12/08/2009 00:00:00,null,2009-2010,N, 	(25-JUL-2025 11:31:50)
9016,T0018498,12/08/2009 00:00:00,null,2009-2010,N, 	(25-JUL-2025 11:31:50)
9016,T0018511,19/08/2009 00:00:00,null,2009-2010,N, 	(25-JUL-2025 11:31:50)
9016,T0018498,13/08/2009 00:00:00,null,2009-2010,N, 	(25-JUL-2025 11:31:50)
9011,T0018026,15/06/2009 00:00:00,null,2009-2010,N, 	(25-JUL-2025 11:31:50)
9011,T0018026,15/06/2009 00:00:00,null,2009-2010,N, 	(25-JUL-2025 11:31:50)
9011,T0018039,23/06/2009 00:00:00,null,2009-2010,N, 	(25-JUL-2025 11:31:50)
9011,T0018026,19/06/2009 00:00:00,null,2009-2010,N, 	(25-JUL-2025 11:31:50)
10002,T0020669,20/04/2010 00:00:00,null,2009-2010,N, 	(25-JUL-2025 11:31:50)
10002,T0020669,20/04/2010 00:00:00,null,2009-2010,N, 	(25-JUL-2025 11:31:50)
10002,T0020685,28/04/2010 00:00:00,null,2009-2010,N, 	(25-JUL-2025 11:31:50)
10002,T0020669,23/04/2010 00:00:00,null,2009-2010,N, 	(25-JUL-2025 11:31:50)
10002,T0020685,28/04/2010 00:00:00,null,2009-2010,N, 	(25-JUL-2025 11:31:50)
9017,T0018517,24/08/2009 00:00:00,null,2009-2010,N, 	(25-JUL-2025 11:31:50)
9017,T0018517,24/08/2009 00:00:00,null,2009-2010,N, 	(25-JUL-2025 11:31:50)
9017,T0018532,02/09/2009 00:00:00,null,2009-2010,N, 	(25-JUL-2025 11:31:50)
9017,T0018517,25/08/2009 00:00:00,null,2009-2010,N, 	(25-JUL-2025 11:31:50)
9021,T0018772,22/09/2009 00:00:00,null,2009-2010,N, 	(25-JUL-2025 11:31:50)
9021,T0018772,22/09/2009 00:00:00,null,2009-2010,N, 	(25-JUL-2025 11:31:50)
9021,T0018780,01/10/2009 00:00:00,null,2009-2010,N, 	(25-JUL-2025 11:31:50)
9021,T0018772,25/09/2009 00:00:00,null,2009-2010,N, 	(25-JUL-2025 11:31:50)
10004,LNG_33,03/08/2010 00:00:00,null,2010-2011,N, 	(25-JUL-2025 11:31:50)
10004,LNG_33,03/08/2010 00:00:00,null,2010-2011,N, 	(25-JUL-2025 11:31:50)
10004,T0021771,10/08/2010 00:00:00,null,2010-2011,N, 	(25-JUL-2025 11:31:50)
10004,LNG_33,04/08/2010 00:00:00,null,2010-2011,N, 	(25-JUL-2025 11:31:50)
10004,T0021771,20/08/2010 00:00:00,null,2010-2011,N, 	(25-JUL-2025 11:31:50)
10009,T0023451,23/02/2011 00:00:00,null,2010-2011,N, 	(25-JUL-2025 11:31:50)
10009,T0023451,23/02/2011 00:00:00,null,2010-2011,N, 	(25-JUL-2025 11:31:50)
10010,T-0025175,10/08/2011 00:00:00,null,2010-2011,N, 	(25-JUL-2025 11:31:50)
10010,T-0025175,10/08/2011 00:00:00,null,2010-2011,N, 	(25-JUL-2025 11:31:50)
10011,T0025874,17/10/2011 00:00:00,Corrected figures, which were wrongly entered in EDQ.,2010-2011,N, 	(25-JUL-2025 11:31:51)
10011,T0025874,17/10/2011 00:00:00,Corrected figures, which were wrongly entered in EDQ.,2010-2011,N, 	(25-JUL-2025 11:31:51)
10012,T0027160,06/03/2012 00:00:00,T002759 was initial provisional invoice, there was error in "invoice frm" date, hence they issued another invoice and earlier was was credited thro' credit note,2010-2011,N, 	(25-JUL-2025 11:31:51)
10012,T0027160,06/03/2012 00:00:00,T002759 was initial provisional invoice, there was error in "invoice frm" date, hence they issued another invoice and earlier was was credited thro' credit note,2010-2011,N, 	(25-JUL-2025 11:31:51)
10013,T0028799,20/08/2012 00:00:00,null,2010-2011,N, 	(25-JUL-2025 11:31:51)
10013,T0028799,20/08/2012 00:00:00,null,2010-2011,N, 	(25-JUL-2025 11:31:51)
10009,T0023693,09/03/2011 00:00:00,null,2010-2011,N, 	(25-JUL-2025 11:31:51)
10010,T-0025226,19/08/2011 00:00:00,null,2010-2011,N, 	(25-JUL-2025 11:31:51)
10011,T0025896,25/10/2011 00:00:00,null,2010-2011,N, 	(25-JUL-2025 11:31:51)
10012,T0027413,20/03/2012 00:00:00,null,2010-2011,N, 	(25-JUL-2025 11:31:51)
10013,T0028825,03/09/2012 00:00:00,null,2010-2011,N, 	(25-JUL-2025 11:31:51)
10009,T0023451,03/03/2011 00:00:00,Diff. CD because of change in cargo cost at the time of FINAL Invoicing.,2010-2011,N, 	(25-JUL-2025 11:31:51)
