
<<START>>,<<FMS_GTA_AGMT_MST>>,, 	(26-JUL-2025 10:32:58)
 
COMPANY_CD,ABBR,AGMT_NAME,AGMT_TYPE,TIMESTAMP,
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
