
<<START>>,<<FMS_SUPPLY_CONT_MST(DLNG)>>,, 	(10-JUN-2025 17:45:50)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TRANSPORTER_CD,TIMESTAMP,
HALHFGL,1,0,10,1,F, 	(10-JUN-2025 17:45:51)
HALHFGL,1,0,12,1,F, 	(10-JUN-2025 17:45:51)
HALHFGL,1,0,8,1,F, 	(10-JUN-2025 17:45:51)
HALHFGL,1,0,16,1,F, 	(10-JUN-2025 17:45:51)
HALHFGL,1,0,15,1,F, 	(10-JUN-2025 17:45:51)
HALHFGL,1,0,14,1,F, 	(10-JUN-2025 17:45:51)
HALHFGL,1,0,13,1,F, 	(10-JUN-2025 17:45:51)
HALHFGL,1,0,14,0,F, 	(10-JUN-2025 17:45:51)
HALHFGL,1,0,16,0,F, 	(10-JUN-2025 17:45:51)
HALHFGL,1,0,17,1,F, 	(10-JUN-2025 17:45:51)
HALHFGL,1,0,15,0,F, 	(10-JUN-2025 17:45:51)
VIDUWIL,1,0,1,0,F, 	(10-JUN-2025 17:45:51)
VIDUWIL,1,0,1,2,F, 	(10-JUN-2025 17:45:51)
VIDUWIL,1,0,1,1,F, 	(10-JUN-2025 17:45:51)
VIDUWIL,1,0,1,3,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,2,1,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,3,1,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,2,0,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,3,2,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,1,1,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,3,0,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,1,0,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,1,2,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,8,0,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,12,0,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,4,0,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,10,0,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,7,0,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,9,0,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,6,2,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,6,0,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,6,1,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,15,1,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,14,0,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,9,1,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,10,1,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,11,0,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,16,0,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,13,0,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,11,1,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,12,1,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,8,1,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,7,1,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,4,1,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,13,1,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,14,1,F, 	(10-JUN-2025 17:45:51)
AGP CGD,1,0,15,0,F, 	(10-JUN-2025 17:45:51)
MINDA,1,0,2,0,F, 	(10-JUN-2025 17:45:51)
MINDA,1,0,3,0,F, 	(10-JUN-2025 17:45:51)
MINDA,1,0,4,0,F, 	(10-JUN-2025 17:45:51)
MINDA,1,0,1,0,F, 	(10-JUN-2025 17:45:51)
MINDA,1,0,2,1,F, 	(10-JUN-2025 17:45:51)
MINDA,1,0,5,0,F, 	(10-JUN-2025 17:45:51)
MINDA,1,0,7,0,F, 	(10-JUN-2025 17:45:51)
MINDA,1,0,10,0,F, 	(10-JUN-2025 17:45:51)
MINDA,1,0,1,1,F, 	(10-JUN-2025 17:45:51)
MINDA,1,0,6,0,F, 	(10-JUN-2025 17:45:51)
MINDA,1,0,4,1,F, 	(10-JUN-2025 17:45:51)
